successful_update,pair_indices,pair_keys
11,99;24;106;145;34;123;64;79,study03/study03_p24:target_t15_800:source_t4_0;study03/study03_p03:target_t24_0:source_t8_1200;study03/study03_p24:target_t21_400:source_t7_1200;study03/study03_p27:target_t21_1200:source_t2_0;study03/study03_p19:target_t3_800:source_t1_0;study03/study03_p25:target_t14_800:source_t9_0;study03/study03_p20:target_t9_800:source_t20_1200;study03/study03_p21:target_t3_1200:source_t16_400
12,20;49;140;142;138;53;105;117,study03/study03_p03:target_t22_0:source_t7_1200;study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p27:target_t11_400:source_t1_0;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p19:target_t19_400:source_t12_0;study03/study03_p24:target_t21_0:source_t7_800;study03/study03_p25:target_t7_0:source_t5_800
13,29;13;12;110;139;81;127;10,study03/study03_p03:target_t25_400:source_t12_1200;study03/study03_p03:target_t10_400:source_t1_1200;study03/study03_p03:target_t10_0:source_t1_800;study03/study03_p24:target_t22_400:source_t11_0;study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p21:target_t6_400:source_t16_1200;study03/study03_p25:target_t18_800:source_t11_0;study03/study03_p03:target_t9_800:source_t1_0
14,91;72;89;101;97;70;51;109,study03/study03_p24:target_t5_1200:source_t1_800;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p24:target_t19_0:source_t4_1200;study03/study03_p24:target_t15_0:source_t3_0;study03/study03_p20:target_t16_0:source_t0_800;study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p24:target_t22_0:source_t10_800
15,2;27;58;129;67;8;54;32,study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p20:target_t10_400:source_t21_1200;study03/study03_p03:target_t9_0:source_t23_800;study03/study03_p19:target_t19_800:source_t12_400;study03/study03_p19:target_t3_0:source_t0_800
16,28;98;107;135;112;19;114;96,study03/study03_p03:target_t25_0:source_t12_800;study03/study03_p24:target_t15_400:source_t3_800;study03/study03_p24:target_t21_800:source_t10_0;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p24:target_t22_1200:source_t11_1200;study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p25:target_t6_400:source_t1_1200;study03/study03_p24:target_t9_1200:source_t2_1200
17,137;65;128;141;68;83;21;36,study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p25:target_t18_1200:source_t11_400;study03/study03_p27:target_t4_1200:source_t0_1200;study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p03:target_t22_400:source_t8_0;study03/study03_p19:target_t6_0:source_t2_800
18,38;45;125;39;71;133;130;73,study03/study03_p19:target_t6_800:source_t4_400;study03/study03_p19:target_t16_400:source_t9_0;study03/study03_p25:target_t18_0:source_t9_800;study03/study03_p19:target_t6_1200:source_t4_800;study03/study03_p20:target_t16_400:source_t0_1200;study03/study03_p26:target_t5_0:source_t7_0;study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p20:target_t16_1200:source_t4_0
19,146;6;119,study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p03:target_t6_800:source_t23_0;study03/study03_p25:target_t7_800:source_t8_0
20,137;4;3;108;125;57;37;55,study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p03:target_t3_1200:source_t21_400;study03/study03_p24:target_t21_1200:source_t10_400;study03/study03_p25:target_t18_0:source_t9_800;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p19:target_t19_1200:source_t12_800
21,139;81;128;94;119;112;63;36,study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p21:target_t6_400:source_t16_1200;study03/study03_p25:target_t18_1200:source_t11_400;study03/study03_p24:target_t8_1200:source_t2_400;study03/study03_p25:target_t7_800:source_t8_0;study03/study03_p24:target_t22_1200:source_t11_1200;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p19:target_t6_0:source_t2_800
22,117;29;141;134;132;40;123;77,study03/study03_p25:target_t7_0:source_t5_800;study03/study03_p03:target_t25_400:source_t12_1200;study03/study03_p27:target_t4_1200:source_t0_1200;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p26:target_t2_1200:source_t6_1200;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p25:target_t14_800:source_t9_0;study03/study03_p21:target_t3_400:source_t15_800
23,18;27;54;2;121;82;118;25,study03/study03_p03:target_t18_800:source_t7_400;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p19:target_t19_800:source_t12_400;study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p25:target_t14_0:source_t8_800;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p25:target_t7_400:source_t5_1200;study03/study03_p03:target_t24_400:source_t11_0
24,51;65;79;75;19;56;111;91,study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p21:target_t3_1200:source_t16_400;study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p24:target_t22_800:source_t11_400;study03/study03_p24:target_t5_1200:source_t1_800
25,105;85;62;143;60;43;33;21,study03/study03_p24:target_t21_0:source_t7_800;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p27:target_t16_400:source_t1_400;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p03:target_t22_400:source_t8_0
26,145;115;10;16;120;84;35;103,study03/study03_p27:target_t21_1200:source_t2_0;study03/study03_p25:target_t6_800:source_t5_0;study03/study03_p03:target_t9_800:source_t1_0;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p25:target_t7_1200:source_t8_400;study03/study03_p21:target_t9_800:source_t18_800;study03/study03_p19:target_t3_1200:source_t2_0;study03/study03_p24:target_t19_800:source_t6_800
27,14;138;90;129;53;133;114;7,study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p24:target_t5_0:source_t1_400;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p19:target_t19_400:source_t12_0;study03/study03_p26:target_t5_0:source_t7_0;study03/study03_p25:target_t6_400:source_t1_1200;study03/study03_p03:target_t6_1200:source_t23_400
28,93;107;127;42;67;50;83;95,study03/study03_p24:target_t8_800:source_t2_0;study03/study03_p24:target_t21_800:source_t10_0;study03/study03_p25:target_t18_800:source_t11_0;study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p20:target_t10_400:source_t21_1200;study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p24:target_t9_800:source_t2_800
29,0;61;64;11;100;45;9;99,study03/study03_p03:target_t3_0:source_t20_800;study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p20:target_t9_800:source_t20_1200;study03/study03_p03:target_t9_1200:source_t1_400;study03/study03_p24:target_t15_1200:source_t4_800;study03/study03_p19:target_t16_400:source_t9_0;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p24:target_t15_800:source_t4_0
30,131;76;15;52;70;89;47;135,study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p21:target_t3_0:source_t15_400;study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p20:target_t16_0:source_t0_800;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p26:target_t5_800:source_t7_800
31,104;146;86;23;88;74;144;71,study03/study03_p24:target_t19_1200:source_t7_0;study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p21:target_t17_0:source_t0_400;study03/study03_p03:target_t22_1200:source_t8_800;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p20:target_t17_0:source_t4_800;study03/study03_p27:target_t16_1200:source_t1_800;study03/study03_p20:target_t16_400:source_t0_1200
32,32;46;38;30;101;69;87;24,study03/study03_p19:target_t3_0:source_t0_800;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p19:target_t6_800:source_t4_400;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p24:target_t19_0:source_t4_1200;study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p03:target_t24_0:source_t8_1200
33,130;68;97;110;73;122;20;80,study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p24:target_t15_0:source_t3_0;study03/study03_p24:target_t22_400:source_t11_0;study03/study03_p20:target_t16_1200:source_t4_0;study03/study03_p25:target_t14_400:source_t8_1200;study03/study03_p03:target_t22_0:source_t7_1200;study03/study03_p21:target_t6_0:source_t16_800
34,17;96;116;34;58;66;109;28,study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p24:target_t9_1200:source_t2_1200;study03/study03_p25:target_t6_1200:source_t5_400;study03/study03_p19:target_t3_800:source_t1_0;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p24:target_t22_0:source_t10_800;study03/study03_p03:target_t25_0:source_t12_800
35,31;113;1;49;22;26;41;48,study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p25:target_t6_0:source_t1_800;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p19:target_t8_400:source_t7_0;study03/study03_p19:target_t17_0:source_t9_1200
36,106;59;136;13;102;72;140;6,study03/study03_p24:target_t21_400:source_t7_1200;study03/study03_p20:target_t3_1200:source_t19_800;study03/study03_p26:target_t5_1200:source_t7_1200;study03/study03_p03:target_t10_400:source_t1_1200;study03/study03_p24:target_t19_400:source_t6_0;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p03:target_t6_800:source_t23_0
37,92;8;142;12;98;78;124;44,study03/study03_p24:target_t8_400:source_t1_1200;study03/study03_p03:target_t9_0:source_t23_800;study03/study03_p27:target_t11_400:source_t1_0;study03/study03_p03:target_t10_0:source_t1_800;study03/study03_p24:target_t15_400:source_t3_800;study03/study03_p21:target_t3_800:source_t15_1200;study03/study03_p25:target_t14_1200:source_t9_400;study03/study03_p19:target_t16_0:source_t7_1200
38,126;5;39,study03/study03_p25:target_t18_400:source_t9_1200;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p19:target_t6_1200:source_t4_800
39,126;12;89;56;120;24;79;85,study03/study03_p25:target_t18_400:source_t9_1200;study03/study03_p03:target_t10_0:source_t1_800;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p25:target_t7_1200:source_t8_400;study03/study03_p03:target_t24_0:source_t8_1200;study03/study03_p21:target_t3_1200:source_t16_400;study03/study03_p21:target_t9_1200:source_t18_1200
40,41;14;88;76;33;27;115;55,study03/study03_p19:target_t8_400:source_t7_0;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p21:target_t3_0:source_t15_400;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p25:target_t6_800:source_t5_0;study03/study03_p19:target_t19_1200:source_t12_800
41,121;101;17;21;31;60;125;15,study03/study03_p25:target_t14_0:source_t8_800;study03/study03_p24:target_t19_0:source_t4_1200;study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p03:target_t22_400:source_t8_0;study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p25:target_t18_0:source_t9_800;study03/study03_p03:target_t10_1200:source_t2_400
42,75;84;19;40;25;57;109;81,study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p21:target_t9_800:source_t18_800;study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p03:target_t24_400:source_t11_0;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p24:target_t22_0:source_t10_800;study03/study03_p21:target_t6_400:source_t16_1200
43,132;43;138;8;133;54;117;38,study03/study03_p26:target_t2_1200:source_t6_1200;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p03:target_t9_0:source_t23_800;study03/study03_p26:target_t5_0:source_t7_0;study03/study03_p19:target_t19_800:source_t12_400;study03/study03_p25:target_t7_0:source_t5_800;study03/study03_p19:target_t6_800:source_t4_400
44,37;146;80;94;48;143;36;29,study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p21:target_t6_0:source_t16_800;study03/study03_p24:target_t8_1200:source_t2_400;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p27:target_t16_400:source_t1_400;study03/study03_p19:target_t6_0:source_t2_800;study03/study03_p03:target_t25_400:source_t12_1200
45,67;122;63;93;62;114;98;44,study03/study03_p20:target_t10_400:source_t21_1200;study03/study03_p25:target_t14_400:source_t8_1200;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p24:target_t8_800:source_t2_0;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p25:target_t6_400:source_t1_1200;study03/study03_p24:target_t15_400:source_t3_800;study03/study03_p19:target_t16_0:source_t7_1200
46,130;16;30;26;0;128;97;119,study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p03:target_t3_0:source_t20_800;study03/study03_p25:target_t18_1200:source_t11_400;study03/study03_p24:target_t15_0:source_t3_0;study03/study03_p25:target_t7_800:source_t8_0
47,91;53;116;52;111;7;18;71,study03/study03_p24:target_t5_1200:source_t1_800;study03/study03_p19:target_t19_400:source_t12_0;study03/study03_p25:target_t6_1200:source_t5_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p24:target_t22_800:source_t11_400;study03/study03_p03:target_t6_1200:source_t23_400;study03/study03_p03:target_t18_800:source_t7_400;study03/study03_p20:target_t16_400:source_t0_1200
48,6;58;70;104;47;65;64;137,study03/study03_p03:target_t6_800:source_t23_0;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p20:target_t16_0:source_t0_800;study03/study03_p24:target_t19_1200:source_t7_0;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p20:target_t9_800:source_t20_1200;study03/study03_p26:target_t13_0:source_t8_0
49,74;103;5;13;77;123;105;49,study03/study03_p20:target_t17_0:source_t4_800;study03/study03_p24:target_t19_800:source_t6_800;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p03:target_t10_400:source_t1_1200;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p25:target_t14_800:source_t9_0;study03/study03_p24:target_t21_0:source_t7_800;study03/study03_p19:target_t17_400:source_t11_0
50,34;82;83;59;140;124;22;32,study03/study03_p19:target_t3_800:source_t1_0;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p20:target_t3_1200:source_t19_800;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p25:target_t14_1200:source_t9_400;study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p19:target_t3_0:source_t0_800
51,96;129;110;51;118;107;108;4,study03/study03_p24:target_t9_1200:source_t2_1200;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p24:target_t22_400:source_t11_0;study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p25:target_t7_400:source_t5_1200;study03/study03_p24:target_t21_800:source_t10_0;study03/study03_p24:target_t21_1200:source_t10_400;study03/study03_p03:target_t6_0:source_t21_800
52,127;3;68;90;39;113;86;72,study03/study03_p25:target_t18_800:source_t11_0;study03/study03_p03:target_t3_1200:source_t21_400;study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p24:target_t5_0:source_t1_400;study03/study03_p19:target_t6_1200:source_t4_800;study03/study03_p25:target_t6_0:source_t1_800;study03/study03_p21:target_t17_0:source_t0_400;study03/study03_p20:target_t16_800:source_t2_1200
53,69;100;112;135;95;35;145;10,study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p24:target_t15_1200:source_t4_800;study03/study03_p24:target_t22_1200:source_t11_1200;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p24:target_t9_800:source_t2_800;study03/study03_p19:target_t3_1200:source_t2_0;study03/study03_p27:target_t21_1200:source_t2_0;study03/study03_p03:target_t9_800:source_t1_0
54,20;9;28;131;61;66;142;45,study03/study03_p03:target_t22_0:source_t7_1200;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p03:target_t25_0:source_t12_800;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p27:target_t11_400:source_t1_0;study03/study03_p19:target_t16_400:source_t9_0
55,102;73;11;92;46;1;2;134,study03/study03_p24:target_t19_400:source_t6_0;study03/study03_p20:target_t16_1200:source_t4_0;study03/study03_p03:target_t9_1200:source_t1_400;study03/study03_p24:target_t8_400:source_t1_1200;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p26:target_t5_400:source_t7_400
56,50;139;141;87;136;106;99;78,study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p27:target_t4_1200:source_t0_1200;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p26:target_t5_1200:source_t7_1200;study03/study03_p24:target_t21_400:source_t7_1200;study03/study03_p24:target_t15_800:source_t4_0;study03/study03_p21:target_t3_800:source_t15_1200
57,144;42;23,study03/study03_p27:target_t16_1200:source_t1_800;study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p03:target_t22_1200:source_t8_800
58,86;19;27;99;48;112;22;0,study03/study03_p21:target_t17_0:source_t0_400;study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p24:target_t15_800:source_t4_0;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p24:target_t22_1200:source_t11_1200;study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p03:target_t3_0:source_t20_800
59,91;124;95;116;60;109;146;115,study03/study03_p24:target_t5_1200:source_t1_800;study03/study03_p25:target_t14_1200:source_t9_400;study03/study03_p24:target_t9_800:source_t2_800;study03/study03_p25:target_t6_1200:source_t5_400;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p24:target_t22_0:source_t10_800;study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p25:target_t6_800:source_t5_0
60,51;133;129;107;46;16;132;20,study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p26:target_t5_0:source_t7_0;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p24:target_t21_800:source_t10_0;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p26:target_t2_1200:source_t6_1200;study03/study03_p03:target_t22_0:source_t7_1200
61,136;111;56;62;82;135;72;92,study03/study03_p26:target_t5_1200:source_t7_1200;study03/study03_p24:target_t22_800:source_t11_400;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p24:target_t8_400:source_t1_1200
62,110;68;63;58;36;30;141;33,study03/study03_p24:target_t22_400:source_t11_0;study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p19:target_t6_0:source_t2_800;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p27:target_t4_1200:source_t0_1200;study03/study03_p19:target_t3_400:source_t0_1200
63,127;69;14;85;31;17;57;43,study03/study03_p25:target_t18_800:source_t11_0;study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p19:target_t8_1200:source_t7_800
64,96;94;65;90;52;77;44;145,study03/study03_p24:target_t9_1200:source_t2_1200;study03/study03_p24:target_t8_1200:source_t2_400;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p24:target_t5_0:source_t1_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p27:target_t21_1200:source_t2_0
65,137;87;103;75;131;138;140;121,study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p24:target_t19_800:source_t6_800;study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p25:target_t14_0:source_t8_800
66,126;15;118;40;104;49;100;70,study03/study03_p25:target_t18_400:source_t9_1200;study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p25:target_t7_400:source_t5_1200;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p24:target_t19_1200:source_t7_0;study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p24:target_t15_1200:source_t4_800;study03/study03_p20:target_t16_0:source_t0_800
67,101;6;125;38;21;102;42;106,study03/study03_p24:target_t19_0:source_t4_1200;study03/study03_p03:target_t6_800:source_t23_0;study03/study03_p25:target_t18_0:source_t9_800;study03/study03_p19:target_t6_800:source_t4_400;study03/study03_p03:target_t22_400:source_t8_0;study03/study03_p24:target_t19_400:source_t6_0;study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p24:target_t21_400:source_t7_1200
68,66;24;2;113;123;83;134;5,study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p03:target_t24_0:source_t8_1200;study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p25:target_t6_0:source_t1_800;study03/study03_p25:target_t14_800:source_t9_0;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p03:target_t6_400:source_t21_1200
69,50;61;73;25;88;119;9;114,study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p20:target_t16_1200:source_t4_0;study03/study03_p03:target_t24_400:source_t11_0;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p25:target_t7_800:source_t8_0;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p25:target_t6_400:source_t1_1200
