fold,participant,internal_subject,role,selection_session,refit_session,outer_gallery_session,outer_query_session
1,3,2,train,none,ses_0,none,none
1,4,3,train,none,ses_0,none,none
1,5,4,train,none,ses_0,none,none
1,6,5,train,none,ses_0,none,none
1,7,6,train,none,ses_0,none,none
1,8,7,train,none,ses_0,none,none
1,9,8,train,none,ses_0,none,none
1,28,27,train,none,ses_0,none,none
1,29,28,train,none,ses_0,none,none
1,30,29,train,none,ses_0,none,none
1,31,30,train,none,ses_0,none,none
1,32,31,train,none,ses_0,none,none
1,33,32,train,none,ses_0,none,none
1,34,33,train,none,ses_0,none,none
1,35,34,train,none,ses_0,none,none
1,36,35,train,none,ses_0,none,none
1,37,36,train,none,ses_0,none,none
1,38,37,train,none,ses_0,none,none
1,39,38,train,none,ses_0,none,none
1,40,39,train,none,ses_0,none,none
1,41,40,train,none,ses_0,none,none
1,42,41,train,none,ses_0,none,none
1,43,42,train,none,ses_0,none,none
1,44,43,train,none,ses_0,none,none
1,45,44,train,none,ses_0,none,none
1,46,45,train,none,ses_0,none,none
1,47,46,train,none,ses_0,none,none
1,48,47,train,none,ses_0,none,none
1,49,48,train,none,ses_0,none,none
1,50,49,train,none,ses_0,none,none
1,51,50,train,none,ses_0,none,none
1,52,51,train,none,ses_0,none,none
1,53,52,train,none,ses_0,none,none
1,54,53,train,none,ses_0,none,none
1,19,18,validation,ses_1,ses_0,none,none
1,20,19,validation,ses_1,ses_0,none,none
1,21,20,validation,ses_1,ses_0,none,none
1,22,21,validation,ses_1,ses_0,none,none
1,23,22,validation,ses_1,ses_0,none,none
1,24,23,validation,ses_1,ses_0,none,none
1,25,24,validation,ses_1,ses_0,none,none
1,26,25,validation,ses_1,ses_0,none,none
1,27,26,validation,ses_1,ses_0,none,none
1,10,9,test,none,none,ses_0,ses_1
1,11,10,test,none,none,ses_0,ses_1
1,12,11,test,none,none,ses_0,ses_1
1,13,12,test,none,none,ses_0,ses_1
1,14,13,test,none,none,ses_0,ses_1
1,15,14,test,none,none,ses_0,ses_1
1,16,15,test,none,none,ses_0,ses_1
1,17,16,test,none,none,ses_0,ses_1
1,18,17,test,none,none,ses_0,ses_1
2,1,0,train,none,ses_0,none,none
2,2,1,train,none,ses_0,none,none
2,3,2,train,none,ses_0,none,none
2,4,3,train,none,ses_0,none,none
2,5,4,train,none,ses_0,none,none
2,6,5,train,none,ses_0,none,none
2,7,6,train,none,ses_0,none,none
2,8,7,train,none,ses_0,none,none
2,9,8,train,none,ses_0,none,none
2,10,9,train,none,ses_0,none,none
2,11,10,train,none,ses_0,none,none
2,12,11,train,none,ses_0,none,none
2,13,12,train,none,ses_0,none,none
2,14,13,train,none,ses_0,none,none
2,15,14,train,none,ses_0,none,none
2,16,15,train,none,ses_0,none,none
2,17,16,train,none,ses_0,none,none
2,18,17,train,none,ses_0,none,none
2,37,36,train,none,ses_0,none,none
2,38,37,train,none,ses_0,none,none
2,39,38,train,none,ses_0,none,none
2,40,39,train,none,ses_0,none,none
2,41,40,train,none,ses_0,none,none
2,42,41,train,none,ses_0,none,none
2,43,42,train,none,ses_0,none,none
2,44,43,train,none,ses_0,none,none
2,45,44,train,none,ses_0,none,none
2,46,45,train,none,ses_0,none,none
2,47,46,train,none,ses_0,none,none
2,48,47,train,none,ses_0,none,none
2,49,48,train,none,ses_0,none,none
2,50,49,train,none,ses_0,none,none
2,51,50,train,none,ses_0,none,none
2,52,51,train,none,ses_0,none,none
2,53,52,train,none,ses_0,none,none
2,54,53,train,none,ses_0,none,none
2,28,27,validation,ses_1,ses_0,none,none
2,29,28,validation,ses_1,ses_0,none,none
2,30,29,validation,ses_1,ses_0,none,none
2,31,30,validation,ses_1,ses_0,none,none
2,32,31,validation,ses_1,ses_0,none,none
2,33,32,validation,ses_1,ses_0,none,none
2,34,33,validation,ses_1,ses_0,none,none
2,35,34,validation,ses_1,ses_0,none,none
2,36,35,validation,ses_1,ses_0,none,none
2,19,18,test,none,none,ses_0,ses_1
2,20,19,test,none,none,ses_0,ses_1
2,21,20,test,none,none,ses_0,ses_1
2,22,21,test,none,none,ses_0,ses_1
2,23,22,test,none,none,ses_0,ses_1
2,24,23,test,none,none,ses_0,ses_1
2,25,24,test,none,none,ses_0,ses_1
2,26,25,test,none,none,ses_0,ses_1
2,27,26,test,none,none,ses_0,ses_1
3,1,0,train,none,ses_0,none,none
3,2,1,train,none,ses_0,none,none
3,3,2,train,none,ses_0,none,none
3,4,3,train,none,ses_0,none,none
3,5,4,train,none,ses_0,none,none
3,6,5,train,none,ses_0,none,none
3,7,6,train,none,ses_0,none,none
3,8,7,train,none,ses_0,none,none
3,9,8,train,none,ses_0,none,none
3,10,9,train,none,ses_0,none,none
3,11,10,train,none,ses_0,none,none
3,12,11,train,none,ses_0,none,none
3,13,12,train,none,ses_0,none,none
3,14,13,train,none,ses_0,none,none
3,15,14,train,none,ses_0,none,none
3,16,15,train,none,ses_0,none,none
3,17,16,train,none,ses_0,none,none
3,18,17,train,none,ses_0,none,none
3,19,18,train,none,ses_0,none,none
3,20,19,train,none,ses_0,none,none
3,21,20,train,none,ses_0,none,none
3,22,21,train,none,ses_0,none,none
3,23,22,train,none,ses_0,none,none
3,24,23,train,none,ses_0,none,none
3,25,24,train,none,ses_0,none,none
3,26,25,train,none,ses_0,none,none
3,27,26,train,none,ses_0,none,none
3,46,45,train,none,ses_0,none,none
3,47,46,train,none,ses_0,none,none
3,48,47,train,none,ses_0,none,none
3,49,48,train,none,ses_0,none,none
3,50,49,train,none,ses_0,none,none
3,51,50,train,none,ses_0,none,none
3,52,51,train,none,ses_0,none,none
3,53,52,train,none,ses_0,none,none
3,54,53,train,none,ses_0,none,none
3,37,36,validation,ses_1,ses_0,none,none
3,38,37,validation,ses_1,ses_0,none,none
3,39,38,validation,ses_1,ses_0,none,none
3,40,39,validation,ses_1,ses_0,none,none
3,41,40,validation,ses_1,ses_0,none,none
3,42,41,validation,ses_1,ses_0,none,none
3,43,42,validation,ses_1,ses_0,none,none
3,44,43,validation,ses_1,ses_0,none,none
3,45,44,validation,ses_1,ses_0,none,none
3,28,27,test,none,none,ses_0,ses_1
3,29,28,test,none,none,ses_0,ses_1
3,30,29,test,none,none,ses_0,ses_1
3,31,30,test,none,none,ses_0,ses_1
3,32,31,test,none,none,ses_0,ses_1
3,33,32,test,none,none,ses_0,ses_1
3,34,33,test,none,none,ses_0,ses_1
3,35,34,test,none,none,ses_0,ses_1
3,36,35,test,none,none,ses_0,ses_1
4,1,0,train,none,ses_0,none,none
4,2,1,train,none,ses_0,none,none
4,3,2,train,none,ses_0,none,none
4,4,3,train,none,ses_0,none,none
4,5,4,train,none,ses_0,none,none
4,6,5,train,none,ses_0,none,none
4,7,6,train,none,ses_0,none,none
4,8,7,train,none,ses_0,none,none
4,9,8,train,none,ses_0,none,none
4,10,9,train,none,ses_0,none,none
4,11,10,train,none,ses_0,none,none
4,12,11,train,none,ses_0,none,none
4,13,12,train,none,ses_0,none,none
4,14,13,train,none,ses_0,none,none
4,15,14,train,none,ses_0,none,none
4,16,15,train,none,ses_0,none,none
4,17,16,train,none,ses_0,none,none
4,18,17,train,none,ses_0,none,none
4,19,18,train,none,ses_0,none,none
4,20,19,train,none,ses_0,none,none
4,21,20,train,none,ses_0,none,none
4,22,21,train,none,ses_0,none,none
4,23,22,train,none,ses_0,none,none
4,24,23,train,none,ses_0,none,none
4,25,24,train,none,ses_0,none,none
4,26,25,train,none,ses_0,none,none
4,27,26,train,none,ses_0,none,none
4,28,27,train,none,ses_0,none,none
4,29,28,train,none,ses_0,none,none
4,30,29,train,none,ses_0,none,none
4,31,30,train,none,ses_0,none,none
4,32,31,train,none,ses_0,none,none
4,33,32,train,none,ses_0,none,none
4,34,33,train,none,ses_0,none,none
4,35,34,train,none,ses_0,none,none
4,36,35,train,none,ses_0,none,none
4,46,45,validation,ses_1,ses_0,none,none
4,47,46,validation,ses_1,ses_0,none,none
4,48,47,validation,ses_1,ses_0,none,none
4,49,48,validation,ses_1,ses_0,none,none
4,50,49,validation,ses_1,ses_0,none,none
4,51,50,validation,ses_1,ses_0,none,none
4,52,51,validation,ses_1,ses_0,none,none
4,53,52,validation,ses_1,ses_0,none,none
4,54,53,validation,ses_1,ses_0,none,none
4,37,36,test,none,none,ses_0,ses_1
4,38,37,test,none,none,ses_0,ses_1
4,39,38,test,none,none,ses_0,ses_1
4,40,39,test,none,none,ses_0,ses_1
4,41,40,test,none,none,ses_0,ses_1
4,42,41,test,none,none,ses_0,ses_1
4,43,42,test,none,none,ses_0,ses_1
4,44,43,test,none,none,ses_0,ses_1
4,45,44,test,none,none,ses_0,ses_1
5,10,9,train,none,ses_0,none,none
5,11,10,train,none,ses_0,none,none
5,12,11,train,none,ses_0,none,none
5,13,12,train,none,ses_0,none,none
5,14,13,train,none,ses_0,none,none
5,15,14,train,none,ses_0,none,none
5,16,15,train,none,ses_0,none,none
5,17,16,train,none,ses_0,none,none
5,18,17,train,none,ses_0,none,none
5,19,18,train,none,ses_0,none,none
5,20,19,train,none,ses_0,none,none
5,21,20,train,none,ses_0,none,none
5,22,21,train,none,ses_0,none,none
5,23,22,train,none,ses_0,none,none
5,24,23,train,none,ses_0,none,none
5,25,24,train,none,ses_0,none,none
5,26,25,train,none,ses_0,none,none
5,27,26,train,none,ses_0,none,none
5,28,27,train,none,ses_0,none,none
5,29,28,train,none,ses_0,none,none
5,30,29,train,none,ses_0,none,none
5,31,30,train,none,ses_0,none,none
5,32,31,train,none,ses_0,none,none
5,33,32,train,none,ses_0,none,none
5,34,33,train,none,ses_0,none,none
5,35,34,train,none,ses_0,none,none
5,36,35,train,none,ses_0,none,none
5,37,36,train,none,ses_0,none,none
5,38,37,train,none,ses_0,none,none
5,39,38,train,none,ses_0,none,none
5,40,39,train,none,ses_0,none,none
5,41,40,train,none,ses_0,none,none
5,42,41,train,none,ses_0,none,none
5,43,42,train,none,ses_0,none,none
5,44,43,train,none,ses_0,none,none
5,45,44,train,none,ses_0,none,none
5,1,0,validation,ses_1,ses_0,none,none
5,2,1,validation,ses_1,ses_0,none,none
5,3,2,validation,ses_1,ses_0,none,none
5,4,3,validation,ses_1,ses_0,none,none
5,5,4,validation,ses_1,ses_0,none,none
5,6,5,validation,ses_1,ses_0,none,none
5,7,6,validation,ses_1,ses_0,none,none
5,8,7,validation,ses_1,ses_0,none,none
5,9,8,validation,ses_1,ses_0,none,none
5,46,45,test,none,none,ses_0,ses_1
5,47,46,test,none,none,ses_0,ses_1
5,48,47,test,none,none,ses_0,ses_1
5,49,48,test,none,none,ses_0,ses_1
5,50,49,test,none,none,ses_0,ses_1
5,51,50,test,none,none,ses_0,ses_1
5,52,51,test,none,none,ses_0,ses_1
5,53,52,test,none,none,ses_0,ses_1
5,54,53,test,none,none,ses_0,ses_1
