best_criterion,config,fold,model,parameters,path,seed,sha256,training_job,updates
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,4,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_4/seed_20260902/best_joint.pt,20260902,aa59e054af6d0a89054b3421f09013845914bab6ea3552d7770bbe355feaa2f2,938850,14750
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,4,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_4/seed_20260903/best_joint.pt,20260903,98c7d40bfac34638fe529858893561953591f1476bd651ccf9bf451f0d7a6593,938838,25000
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,0,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_0/seed_20260901/best_joint.pt,20260901,b1fa140093ec897d9a4f67b48db68f4eb9851b67322dd4bc983db3963baf2ae2,938843,13250
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,0,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_0/seed_20260902/best_joint.pt,20260902,050f69b8b7ed1d5101ce0e27ff89be55e7a0dd15064e6837aeba68deff848423,938844,7750
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,0,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_0/seed_20260903/best_joint.pt,20260903,dccfbb10456f9d6090b41e7b03f02e2e0626990fa9cf203af0207706e8218152,938851,10000
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,1,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_1/seed_20260901/best_joint.pt,20260901,107cae3c622db61dffc828e469ac0042cb9d51126dfb8310483d145f0ed38f70,938858,12000
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,1,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_1/seed_20260902/best_joint.pt,20260902,c2cdbe3e2ab6296cc93c5f25d2c1c3590e9b2f5af4ada02381363bd75a0fff77,938841,9500
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,1,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_1/seed_20260903/best_joint.pt,20260903,93702649edd0c755677eeb063bd6993da2cd1513320d99a30cc73162a1dcf5e2,938847,9250
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,2,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_2/seed_20260901/best_joint.pt,20260901,8e8a4d45520eb3d82f0c83efd722db11edee34d0bf21aeca7c62ed3eb6972741,938852,13250
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,2,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_2/seed_20260902/best_joint.pt,20260902,5adde9e3216d86b8651276a5997e468529bf195ac5052547758ee3fb74ea9c07,938854,7500
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,2,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_2/seed_20260903/best_joint.pt,20260903,e5779bc883acc97e65157a3eae93594e1d8d8bfe6e7bcb7e70c097a260fe121b,938864,7750
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,3,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_3/seed_20260901/best_joint.pt,20260901,aab201b1379771a260efb3116b201b4f369c71418042a7ed00efb9dffc5b188b,938845,28750
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,3,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_3/seed_20260902/best_joint.pt,20260902,1f9fea05c5038f190ad9c2f624bd348f48611a9b25c17b223856e4c10da582cd,938855,22250
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,3,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_3/seed_20260903/best_joint.pt,20260903,587fae128b009f77976791f2d38ebc728693df603d856f029ea082d3524b8da7,938857,5500
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,4,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_4/seed_20260901/best_joint.pt,20260901,56a4257f2769047be528b0eb21540c0ca2c370e1cd6416e112eb3c06089b7a6f,938860,15000
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,4,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_4/seed_20260902/best_joint.pt,20260902,c179b248e26e21a43384721b22a108b31afd3e20dbc6ba68c54e665ced172a8e,938883,7750
joint,configs/sc_cdm_v28/support_clean_cdm.yaml,4,support_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_cdm/fold_4/seed_20260903/best_joint.pt,20260903,5c7711f9adddbaf06cfb5bc76dd7ffd34d492ed3edf8bcdfcb5fe79cb9321863,938846,12500
