contains_query_EOG,contains_query_operator,contains_task_metadata,participant,path,qnatural_eog_shape,session,sha256,task
1,1,1,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-03/ses-04_ERP.npz,"(4, 42522)",ses-04,d45e82172f18a2a58f659e87ed386fedf762a104a024a2a7813902e07a9ec459,ERP
1,1,1,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-03/ses-04_SSVEP.npz,"(4, 23682)",ses-04,43c465c179c639092e0959671f1e4d4cf6731f71fb7e806f8a0f3e05d8d27753,SSVEP
1,1,1,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-05/ses-02_ERP.npz,"(4, 40892)",ses-02,4d8d17cd7459684638d4119cf4c8e9262fa6729874a7ca2c4447528ded5b50da,ERP
1,1,1,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-05/ses-02_SSVEP.npz,"(4, 29603)",ses-02,22524015ad75dfb46f20e57e5f5aab42610491c92a2f0a0cad45a7de499421fb,SSVEP
1,1,1,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-05/ses-03_ERP.npz,"(4, 37871)",ses-03,3942818da398603fdd533ee0e2a78704a42b8c50c15fa61ce1234b1efbc5aec3,ERP
1,1,1,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-05/ses-03_SSVEP.npz,"(4, 27325)",ses-03,23c766d2468963237405750c9e52f27d3e9778f4677d1d036a52b028b96b1f7e,SSVEP
1,1,1,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-05/ses-04_ERP.npz,"(4, 37806)",ses-04,f6df9ad4c1f158da069557059317ebf8cbaa4a8e33fe5519d7981c73ef1a08cc,ERP
1,1,1,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-05/ses-04_SSVEP.npz,"(4, 24225)",ses-04,e385708a0978a20531179e15111d82f7b83c8ef58c54b1099fa7e8f74738a644,SSVEP
1,1,1,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-06/ses-02_ERP.npz,"(4, 37551)",ses-02,2ff50f4b245cd963b4e397555cfefa04c5c84667281387efea448e0e16932a00,ERP
1,1,1,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-06/ses-02_SSVEP.npz,"(4, 23785)",ses-02,2589a4794b50a32e0da5042df8f97bb78fec32d98745ab7f9ed2264521e053a0,SSVEP
1,1,1,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-06/ses-03_ERP.npz,"(4, 38059)",ses-03,54120a493c28760aa10ed30bcc96973552984ce2daeccd0a417b82e239eedd13,ERP
1,1,1,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-06/ses-03_SSVEP.npz,"(4, 24507)",ses-03,5feb822429b584d53d0ac0c77c58602a9ad21da2659d41d2d8ab27e1e356ea65,SSVEP
1,1,1,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-06/ses-04_ERP.npz,"(4, 39371)",ses-04,9b504c02f626d68607537fa99d092496160c8d324529d39b75400c13403e1dc7,ERP
1,1,1,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-06/ses-04_SSVEP.npz,"(4, 23948)",ses-04,d5fca9472c6691e99efd9f2bef5f6c73ff80f3d0c81f84ca9da1807eaa867de0,SSVEP
1,1,1,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-07/ses-02_ERP.npz,"(4, 39409)",ses-02,644d767915beb9f5f3bc11b597aee11f20281ba75ad51bbc95835b7fb6771866,ERP
1,1,1,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-07/ses-02_SSVEP.npz,"(4, 23728)",ses-02,8a33cef3708f889ef556367ccad293f1b47ad88426e840666e2740a4626a8242,SSVEP
1,1,1,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-07/ses-03_ERP.npz,"(4, 39758)",ses-03,c16dc7d79b3190a4474778a1c673e3daaa0fc3a1e58f6670b01e6cbbff26ad46,ERP
1,1,1,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-07/ses-03_SSVEP.npz,"(4, 23731)",ses-03,e6b364d7a2b291daf09b19a4f4cd095213827dca7c0e88f8ea3488a9381deae6,SSVEP
1,1,1,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-07/ses-04_ERP.npz,"(4, 37239)",ses-04,2025ca9902cb36b4d4f7535ce552bcab52a9941815eae49cba491b3f1da966da,ERP
1,1,1,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-07/ses-04_SSVEP.npz,"(4, 23248)",ses-04,cbcf8737d63f4fe4c9c2c50b0160666244efcca4f8749b56d65a7a1fa77d646b,SSVEP
1,1,1,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-09/ses-02_ERP.npz,"(4, 38153)",ses-02,dc87f29760ae773f8311508a95573b327c8da20be7d23fe27dd9373b1fb431b0,ERP
1,1,1,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-09/ses-02_SSVEP.npz,"(4, 23788)",ses-02,433326780573565bcff1c0fd2ae905877fb028938ca6d9574c00166f87561ecb,SSVEP
1,1,1,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-09/ses-03_ERP.npz,"(4, 38255)",ses-03,2454ff69ffde46db05c61200b86587b5fce204cfdd035f01e31fb743ec8adb1a,ERP
1,1,1,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-09/ses-03_SSVEP.npz,"(4, 23938)",ses-03,8ab49eeabcc4cb4698c45c9400460ba2dc9b0ce42b913c8e6c5df5af564fefdd,SSVEP
1,1,1,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-09/ses-04_ERP.npz,"(4, 37989)",ses-04,8555337ff0fdc18b4efa8e76b1bfb28b9f113f9f42ed930edd3f73c43fd52611,ERP
1,1,1,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-09/ses-04_SSVEP.npz,"(4, 23648)",ses-04,6250b40aba44973ee28e0040d62d658db7578c942cdbac9d4e0deb3214040af6,SSVEP
1,1,1,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-11/ses-02_ERP.npz,"(4, 15928)",ses-02,ff8a8d1b0d658aa237d15236798f9e58d30b7ae09ca2121e415f807b8f831558,ERP
1,1,1,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-11/ses-02_SSVEP.npz,"(4, 27541)",ses-02,982011997fd6ae310f195556cfb43287aaccf913bdf0a8640834568e4996358e,SSVEP
1,1,1,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-11/ses-03_ERP.npz,"(4, 15555)",ses-03,1ffc6c69c08713bedeb8aad1970f6bf29e0259148d01043bb6abd7c8494aee8b,ERP
1,1,1,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-11/ses-03_SSVEP.npz,"(4, 26200)",ses-03,19a244324bdd0e62640835bf2a10b6a6316c24fb987d458d913f2aedadcc2c49,SSVEP
1,1,1,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-11/ses-04_ERP.npz,"(4, 16809)",ses-04,60302c61d0bce5acb632e09cb8a9488c498fdae51370fe64e664530a0244c536,ERP
1,1,1,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-11/ses-04_SSVEP.npz,"(4, 29703)",ses-04,3a38a749574297d47d1860449acec1e7f151e67477ac883037ca935c364973f1,SSVEP
1,1,1,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-12/ses-02_ERP.npz,"(4, 38339)",ses-02,665020d3501665c8a492e4f2fb892bc8a7861aaa36572ede10600d5a3ece6594,ERP
1,1,1,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-12/ses-02_SSVEP.npz,"(4, 24737)",ses-02,3caa9c12c148077f65630ef794b4b4105996d370baccf74e39931b5078c0981f,SSVEP
1,1,1,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-12/ses-03_ERP.npz,"(4, 40137)",ses-03,5d523a932e0a1cb4fbae453c6f5a2988f660de666e5eff06fba6d430df910a51,ERP
1,1,1,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-12/ses-03_SSVEP.npz,"(4, 23788)",ses-03,ffae2efea9ebafca51c0f3c265d40c98aef4d7fe1fb56004ac642cc4122a003e,SSVEP
1,1,1,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-12/ses-04_ERP.npz,"(4, 45524)",ses-04,42f6c427c41470f9ffcc02575f985d39be8e57aaf5ff70c057865b18afaf2b43,ERP
1,1,1,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-12/ses-04_SSVEP.npz,"(4, 23853)",ses-04,5e7284ea34ef98ec089f9bb64cb955808d6bbf47f67ec756f5ae43d6348eab85,SSVEP
1,1,1,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-14/ses-02_ERP.npz,"(4, 44465)",ses-02,1b52ea0d64360802d6b2855a32a14202c2efc29c27682fbc18d8704f86b6da17,ERP
1,1,1,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-14/ses-02_SSVEP.npz,"(4, 24117)",ses-02,c18288c61241ffb39f504c73f097a0ffa0f521cc7baf437f3aa3a981587571ca,SSVEP
1,1,1,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-14/ses-03_ERP.npz,"(4, 37843)",ses-03,92f09898f5bdaa830e33bc15d5c1f151bec1e98bcb78dc644c2bd97a24c9b8db,ERP
1,1,1,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-14/ses-03_SSVEP.npz,"(4, 23585)",ses-03,2f84b0879e8a77772476b4f2d2b0ad813bd1afd5347cf5b889adc00be15d0976,SSVEP
1,1,1,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-14/ses-04_ERP.npz,"(4, 37431)",ses-04,260a04b602371dc6da50b643c5382aad882d199450c3757c48984d8648007382,ERP
1,1,1,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-14/ses-04_SSVEP.npz,"(4, 23528)",ses-04,0e3f1a0b2c7f90fba8cf1e4c9d53c1a2c2a8afbafa752a616d4eab42a15815a9,SSVEP
1,1,1,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-15/ses-02_ERP.npz,"(4, 38773)",ses-02,179a4c1d069c8981c6132e4adf9c82fa211e3135fae004e480186d87906a1c88,ERP
1,1,1,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-15/ses-02_SSVEP.npz,"(4, 25803)",ses-02,952fa018bfb465b204bf5de9feefe711a5d0cc96c06507d92831754bea57f03e,SSVEP
1,1,1,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-15/ses-03_ERP.npz,"(4, 38535)",ses-03,c54d8d879df15e171ed2f48215026814b7467c91ecab74c4a228817d3f80bd94,ERP
1,1,1,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-15/ses-03_SSVEP.npz,"(4, 23410)",ses-03,66a76606cce19905f31fc50e5e65c47287ab62b20ffe17ff9b1d47335f00cc8e,SSVEP
1,1,1,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-15/ses-04_ERP.npz,"(4, 43085)",ses-04,f0a049f0d1e729df7aace9143e40554ba65c18b8e092dc67f38c351f1f748dfc,ERP
1,1,1,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-15/ses-04_SSVEP.npz,"(4, 25909)",ses-04,c2515ff2297405ce61d81c1dd1d17f5c9ed3803b348fc0f35e9b4f5d86a18067,SSVEP
1,1,1,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-17/ses-02_ERP.npz,"(4, 37990)",ses-02,298ba98e6870034e3a9262a8ec49e4e6a1d48dce565e6445e3c251fb363e752e,ERP
1,1,1,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-17/ses-02_SSVEP.npz,"(4, 24392)",ses-02,5d13fb13276e9f9884370b63770facd5a0d8823b40ed4bf67d6f32f64311d91a,SSVEP
1,1,1,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-17/ses-03_ERP.npz,"(4, 39887)",ses-03,11ef193da79f3ad7a36a3813c734be122315bcc568c0865da0ba3a280f748002,ERP
1,1,1,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-17/ses-03_SSVEP.npz,"(4, 23535)",ses-03,ed0a8cc82664c7206100fafc247a857488b8a3d5d5f22b21dadb64437568e83d,SSVEP
1,1,1,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-17/ses-04_ERP.npz,"(4, 38562)",ses-04,9950d1f2d9396f4bb3782704e11434b20a11efba8549e5580e55ca94fafb8695,ERP
1,1,1,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-17/ses-04_SSVEP.npz,"(4, 23695)",ses-04,1f654ac8cb2eb623badd10f59856bca9be61a19602012c215e07b3a3dea67383,SSVEP
1,1,1,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-18/ses-02_ERP.npz,"(4, 59310)",ses-02,bd8d7745cf9e2389ce4fe9e1f40aebb945cd870c0e39e63523145cc10acbcf67,ERP
1,1,1,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-18/ses-02_SSVEP.npz,"(4, 26235)",ses-02,a02944f41d7ef7477b562aa33e267fe4d81f6825829d2b9d05cb44bc029e2116,SSVEP
1,1,1,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-18/ses-03_ERP.npz,"(4, 40538)",ses-03,05b6d475a34886de8ec5ac9c1be40153e6af9eb9f957dee42f55434a605ba3bb,ERP
1,1,1,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-18/ses-03_SSVEP.npz,"(4, 24184)",ses-03,7e3417b1fe1e2e889d8d0041e5b29fd6f6acf39fdbea056d7103c1cc33e39c3b,SSVEP
1,1,1,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-18/ses-04_ERP.npz,"(4, 39157)",ses-04,61241573fad267f8d77e2d55da44f7ef6866cbb8c1f79a60c1e6c114a1647626,ERP
1,1,1,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-18/ses-04_SSVEP.npz,"(4, 23883)",ses-04,facbb2a79c1dcb5938f7916ccf216bade09256b3628cbcd7e42058fbc4aba6f4,SSVEP
1,1,1,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-19/ses-02_ERP.npz,"(4, 37763)",ses-02,625eefde05f2c61bc85a2fafb5bf6ece993e1475ab9b58525229a784898f7041,ERP
1,1,1,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-19/ses-02_SSVEP.npz,"(4, 35475)",ses-02,84cfa0674631c95c8dc02c3b513fc7f70e369d70e41bf7aa6eeb5b3759805aeb,SSVEP
1,1,1,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-19/ses-03_ERP.npz,"(4, 44352)",ses-03,25c90a56aa47e75d4643149e6bede258a0c86ff73b4437c193b2f5c39991f9ac,ERP
1,1,1,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-19/ses-03_SSVEP.npz,"(4, 32064)",ses-03,66eb58c051f9b6686fcab911f67e034bc3cf5ad61e9aa36a7f28e09661464650,SSVEP
1,1,1,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-19/ses-04_ERP.npz,"(4, 40700)",ses-04,05c39dd37c54a81db925cbce8debdf127bbff8b39cc1a6c8e005a23f5acff339,ERP
1,1,1,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-19/ses-04_SSVEP.npz,"(4, 26134)",ses-04,2b7b4462c0f277d1abc07424bfbfe9681e0163dc0cb56646e32bdb376b698a41,SSVEP
1,1,1,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-21/ses-02_ERP.npz,"(4, 53255)",ses-02,8e5045d0ef6ff52656cf888ce073d867b7d0ab7f7ad27b9437148d470ebeba98,ERP
1,1,1,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-21/ses-02_SSVEP.npz,"(4, 24998)",ses-02,0775ca6a8ac3f39bc25e0d5d889d58921917a30aedd5294221869246ce3767de,SSVEP
1,1,1,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-21/ses-03_ERP.npz,"(4, 43527)",ses-03,3b86e1022c2f4e29023a99de6cf80789ae661bb87caad609441fccb5f8176075,ERP
1,1,1,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-21/ses-03_SSVEP.npz,"(4, 24584)",ses-03,f5f163d203c6c3d63bc9bdaa93f81bc839a1396a56983e4f43a0417d3d8f9cc9,SSVEP
1,1,1,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-21/ses-04_ERP.npz,"(4, 71058)",ses-04,4e619cf1b08b1805beaf5f79b5ca4380c3af56cfcb004762ecee7fb46f047e12,ERP
1,1,1,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-21/ses-04_SSVEP.npz,"(4, 24208)",ses-04,ad85b7a5457d63671620742be6ba34f96113e134e946501648653599a4625ac9,SSVEP
1,1,1,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-23/ses-02_ERP.npz,"(4, 39907)",ses-02,aa94bc3c1abd2cb2dbe8342560b13913b141389b5c0fd3f69dbf926e8ab9445e,ERP
1,1,1,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-23/ses-02_SSVEP.npz,"(4, 29438)",ses-02,ae5fb7d81e621bda0edabde006bdc1f1929a92b7a3fc92bd3cec8c060192d36d,SSVEP
1,1,1,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-23/ses-03_ERP.npz,"(4, 41176)",ses-03,a47fc409a9b7f0ea232379f1a39dde6c8d61159f98d998dcbc38ff5e6777c09a,ERP
1,1,1,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-23/ses-03_SSVEP.npz,"(4, 23705)",ses-03,93cfeaffcf3951c1361f070728cbf401b97f01bed3bb1f2f9972303df29bc194,SSVEP
1,1,1,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-23/ses-04_ERP.npz,"(4, 46247)",ses-04,9bb128381c6ef8b74c00a579d035c97d375f02657d8dd868c0954121c45dc74a,ERP
1,1,1,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-23/ses-04_SSVEP.npz,"(4, 23980)",ses-04,1ab5c9f19e71abe1aa2088d80c0ec279655efad0ed6c7384442f22739e1a66ab,SSVEP
1,1,1,sub-24,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-24/ses-02_ERP.npz,"(4, 38197)",ses-02,e09264b9901a61942b7843f214026d86e6e6458f61d1b89a9471d0578931dd32,ERP
1,1,1,sub-24,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-24/ses-03_ERP.npz,"(4, 37581)",ses-03,dd9efdc0ebc7be536083e8425e5a27132ed8771f0f33661c2fb31a4025dcc757,ERP
1,1,1,sub-24,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-24/ses-04_ERP.npz,"(4, 38500)",ses-04,7a1fdd0a8bb937b3418740b92bf946073e3c0fb108109984784afa058021f750,ERP
