successful_update,pair_indices,pair_keys
11,97;158;549;7;542;689;665;167,study05/study05_p41:target_t22_0:source_t6_1024;study05/study05_p43:target_t22_0:source_t4_0;study05/study05_p48:target_t22_512:source_t4_1024;study05/study05_p40:target_t19_1536:source_t2_512;study05/study05_p48:target_t20_1024:source_t2_1536;study05/study05_p50:target_t33_1536:source_t12_1536;study05/study05_p50:target_t25_1536:source_t6_1536;study05/study05_p43:target_t24_1536:source_t6_512
12,394;288;296;371;398;489;270;4,study05/study05_p46:target_t24_1536:source_t3_1024;study05/study05_p44:target_t33_0:source_t0_1024;study05/study05_p44:target_t35_0:source_t2_1024;study05/study05_p46:target_t19_0:source_t15_1536;study05/study05_p46:target_t25_1536:source_t4_1024;study05/study05_p47:target_t27_0:source_t11_1024;study05/study05_p44:target_t28_1024:source_t8_1536;study05/study05_p40:target_t19_0:source_t1_1024
13,137;192;243;151;567;29;101;619,study05/study05_p41:target_t32_512:source_t2_1024;study05/study05_p43:target_t31_1536:source_t13_512;study05/study05_p44:target_t21_1536:source_t2_0;study05/study05_p43:target_t19_1536:source_t2_512;study05/study05_p48:target_t27_512:source_t9_0;study05/study05_p40:target_t25_1024:source_t7_1536;study05/study05_p41:target_t23_0:source_t7_1024;study05/study05_p49:target_t18_1024:source_t2_1536
14,41;474;344;285;77;263;454;292,study05/study05_p40:target_t28_1536:source_t11_0;study05/study05_p47:target_t23_512:source_t7_0;study05/study05_p45:target_t30_1536:source_t13_1536;study05/study05_p44:target_t32_512:source_t14_1536;study05/study05_p41:target_t17_0:source_t1_1024;study05/study05_p44:target_t26_1536:source_t7_0;study05/study05_p47:target_t18_512:source_t1_1536;study05/study05_p44:target_t34_0:source_t1_1024
15,494;210;310;503;325;443;545;510,study05/study05_p47:target_t28_512:source_t13_0;study05/study05_p43:target_t37_1024:source_t3_1024;study05/study05_p45:target_t20_0:source_t4_1024;study05/study05_p47:target_t30_1024:source_t15_1536;study05/study05_p45:target_t25_512:source_t8_1024;study05/study05_p46:target_t37_1024:source_t16_1024;study05/study05_p48:target_t21_512:source_t3_1024;study05/study05_p47:target_t32_512:source_t0_1536
16,120;219;30;553;272;420;373;534,study05/study05_p41:target_t27_1536:source_t12_1536;study05/study05_p44:target_t15_1536:source_t8_1536;study05/study05_p40:target_t25_1536:source_t8_0;study05/study05_p48:target_t23_512:source_t5_1024;study05/study05_p44:target_t29_0:source_t9_512;study05/study05_p46:target_t31_1536:source_t10_0;study05/study05_p46:target_t19_1024:source_t16_512;study05/study05_p48:target_t18_1024:source_t0_1536
17,643;347;271;265;625;326;676;650,study05/study05_p50:target_t17_1536:source_t1_512;study05/study05_p45:target_t31_1024:source_t14_1536;study05/study05_p44:target_t28_1536:source_t9_0;study05/study05_p44:target_t27_512:source_t7_1024;study05/study05_p49:target_t20_1536:source_t4_512;study05/study05_p45:target_t25_1024:source_t8_1536;study05/study05_p50:target_t29_0:source_t9_1024;study05/study05_p50:target_t20_1024:source_t3_0
18,229;152;153;254;615;311;447;487,study05/study05_p44:target_t18_512:source_t12_1024;study05/study05_p43:target_t20_0:source_t2_1024;study05/study05_p43:target_t20_512:source_t2_1536;study05/study05_p44:target_t24_1024:source_t4_1536;study05/study05_p49:target_t16_0:source_t1_1536;study05/study05_p45:target_t20_512:source_t4_1536;study05/study05_p46:target_t38_1024:source_t17_1024;study05/study05_p47:target_t26_1024:source_t10_1536
19,537;80;387;388;189;599;226;174,study05/study05_p48:target_t19_512:source_t1_1024;study05/study05_p41:target_t17_1536:source_t2_512;study05/study05_p46:target_t23_0:source_t1_1536;study05/study05_p46:target_t23_512:source_t2_0;study05/study05_p43:target_t31_0:source_t11_1536;study05/study05_p49:target_t11_1024:source_t8_1536;study05/study05_p44:target_t17_1024:source_t11_512;study05/study05_p43:target_t26_1024:source_t8_0
20,672;677;249;94;479;206;627;68,study05/study05_p50:target_t28_0:source_t8_1024;study05/study05_p50:target_t29_512:source_t9_1536;study05/study05_p44:target_t23_512:source_t3_1024;study05/study05_p41:target_t21_512:source_t5_1536;study05/study05_p47:target_t24_1024:source_t8_1536;study05/study05_p43:target_t36_512:source_t2_1024;study05/study05_p49:target_t21_512:source_t4_1536;study05/study05_p40:target_t35_1536:source_t0_1536
21,321;520;690;481;527;196;417;92,study05/study05_p45:target_t23_1536:source_t7_512;study05/study05_p47:target_t34_1536:source_t3_512;study05/study05_p50:target_t34_0:source_t13_0;study05/study05_p47:target_t25_0:source_t9_512;study05/study05_p48:target_t16_1024:source_t12_512;study05/study05_p43:target_t32_1536:source_t0_0;study05/study05_p46:target_t31_0:source_t9_512;study05/study05_p41:target_t20_1536:source_t5_512
22,597;107;106;245;143;150;612;160,study05/study05_p48:target_t36_1536:source_t3_1024;study05/study05_p41:target_t24_1024:source_t9_0;study05/study05_p41:target_t24_512:source_t8_1536;study05/study05_p44:target_t22_512:source_t2_1024;study05/study05_p41:target_t33_1536:source_t4_0;study05/study05_p43:target_t19_1024:source_t2_0;study05/study05_p49:target_t15_512:source_t1_0;study05/study05_p43:target_t22_1024:source_t4_1024
23,141;691;300;277;14;360;463;138,study05/study05_p41:target_t33_512:source_t3_1024;study05/study05_p50:target_t34_512:source_t13_512;study05/study05_p45:target_t17_0:source_t2_0;study05/study05_p44:target_t30_512:source_t11_512;study05/study05_p40:target_t21_1536:source_t4_0;study05/study05_p45:target_t35_0:source_t1_1024;study05/study05_p47:target_t20_1024:source_t4_0;study05/study05_p41:target_t32_1024:source_t2_1536
24,644;641;369;281;64;598;407;16,study05/study05_p50:target_t18_0:source_t1_1024;study05/study05_p50:target_t16_1536:source_t0_1536;study05/study05_p46:target_t18_1024:source_t15_512;study05/study05_p44:target_t31_512:source_t12_1536;study05/study05_p40:target_t34_1536:source_t17_1536;study05/study05_p49:target_t11_512:source_t8_512;study05/study05_p46:target_t28_1024:source_t6_1536;study05/study05_p40:target_t22_512:source_t4_1024
25,491;569;17;305;355;390;323;462,study05/study05_p47:target_t27_1024:source_t12_0;study05/study05_p48:target_t27_1536:source_t9_1024;study05/study05_p40:target_t22_1024:source_t4_1536;study05/study05_p45:target_t18_1536:source_t3_512;study05/study05_p45:target_t33_1536:source_t0_512;study05/study05_p46:target_t23_1536:source_t2_1024;study05/study05_p45:target_t24_1536:source_t8_0;study05/study05_p47:target_t20_512:source_t3_1536
26,509;15;154;424;486;482;27;168,study05/study05_p47:target_t32_0:source_t0_1024;study05/study05_p40:target_t22_0:source_t4_512;study05/study05_p43:target_t20_1024:source_t3_0;study05/study05_p46:target_t32_1536:source_t11_0;study05/study05_p47:target_t26_512:source_t10_1024;study05/study05_p47:target_t25_512:source_t9_1024;study05/study05_p40:target_t25_0:source_t7_512;study05/study05_p43:target_t25_0:source_t6_1024
27,624;585;46;49;293;592;290;660,study05/study05_p49:target_t20_0:source_t4_0;study05/study05_p48:target_t32_1536:source_t0_1024;study05/study05_p40:target_t30_0:source_t12_1536;study05/study05_p40:target_t31_0:source_t13_1024;study05/study05_p44:target_t34_512:source_t1_1536;study05/study05_p48:target_t35_0:source_t2_512;study05/study05_p44:target_t33_1024:source_t1_0;study05/study05_p50:target_t23_1536:source_t5_1024
28,639;58;495;385;149;638;91;397,study05/study05_p49:target_t26_1536:source_t9_0;study05/study05_p40:target_t33_512:source_t16_512;study05/study05_p47:target_t28_1024:source_t13_512;study05/study05_p46:target_t22_1024:source_t1_512;study05/study05_p43:target_t19_512:source_t1_1536;study05/study05_p49:target_t26_0:source_t8_1536;study05/study05_p41:target_t20_1024:source_t5_0;study05/study05_p46:target_t25_1024:source_t4_512
29,102;631;333;566;682;183;628;426,study05/study05_p41:target_t23_512:source_t7_1536;study05/study05_p49:target_t23_0:source_t5_1536;study05/study05_p45:target_t27_512:source_t10_1024;study05/study05_p48:target_t26_1536:source_t8_1536;study05/study05_p50:target_t31_0:source_t11_0;study05/study05_p43:target_t29_512:source_t10_512;study05/study05_p49:target_t21_1024:source_t5_0;study05/study05_p46:target_t33_512:source_t11_1024
30,492;669;282;633;524;313;523;250,study05/study05_p47:target_t27_1536:source_t12_512;study05/study05_p50:target_t27_512:source_t7_1536;study05/study05_p44:target_t31_1024:source_t13_512;study05/study05_p49:target_t23_1024:source_t6_1536;study05/study05_p48:target_t15_1536:source_t11_512;study05/study05_p45:target_t21_0:source_t5_512;study05/study05_p48:target_t15_1024:source_t11_0;study05/study05_p44:target_t23_1024:source_t3_1536
31,264;572;606;471;512;236;258;318,study05/study05_p44:target_t27_0:source_t7_512;study05/study05_p48:target_t29_0:source_t10_512;study05/study05_p49:target_t13_1024:source_t10_1024;study05/study05_p47:target_t22_1024:source_t6_0;study05/study05_p47:target_t32_1536:source_t1_512;study05/study05_p44:target_t20_0:source_t0_512;study05/study05_p44:target_t25_1024:source_t5_1536;study05/study05_p45:target_t23_0:source_t6_1024
32,528;74;221;178;686;508;148;626,study05/study05_p48:target_t16_1536:source_t12_1536;study05/study05_p41:target_t16_512:source_t0_1536;study05/study05_p44:target_t16_512:source_t9_512;study05/study05_p43:target_t27_1024:source_t9_0;study05/study05_p50:target_t32_512:source_t12_0;study05/study05_p47:target_t31_1536:source_t0_512;study05/study05_p43:target_t19_0:source_t1_1024;study05/study05_p49:target_t21_0:source_t4_1024
33,458;255;568;18;96;452;351;590,study05/study05_p47:target_t19_512:source_t2_1536;study05/study05_p44:target_t24_1536:source_t5_0;study05/study05_p48:target_t27_1024:source_t9_512;study05/study05_p40:target_t22_1536:source_t5_0;study05/study05_p41:target_t21_1536:source_t6_512;study05/study05_p47:target_t17_1536:source_t1_512;study05/study05_p45:target_t32_1024:source_t16_0;study05/study05_p48:target_t34_1024:source_t1_1536
34,186;493;193;551;147;317;380;76,study05/study05_p43:target_t30_512:source_t11_0;study05/study05_p47:target_t28_0:source_t12_1024;study05/study05_p43:target_t32_0:source_t14_512;study05/study05_p48:target_t22_1536:source_t5_0;study05/study05_p43:target_t18_1536:source_t1_512;study05/study05_p45:target_t22_1536:source_t6_512;study05/study05_p46:target_t21_512:source_t0_0;study05/study05_p41:target_t16_1536:source_t1_512
35,240;181;666;197;9;635;105;477,study05/study05_p44:target_t21_0:source_t1_512;study05/study05_p43:target_t28_1536:source_t9_1536;study05/study05_p50:target_t26_1024:source_t7_0;study05/study05_p43:target_t33_0:source_t0_512;study05/study05_p40:target_t20_512:source_t2_1536;study05/study05_p49:target_t24_512:source_t7_1024;study05/study05_p41:target_t24_0:source_t8_1024;study05/study05_p47:target_t24_0:source_t8_0
36,180;104;648;472;69;438;515;661,study05/study05_p43:target_t28_0:source_t9_1024;study05/study05_p41:target_t23_1536:source_t8_512;study05/study05_p50:target_t19_1024:source_t2_1024;study05/study05_p47:target_t22_1536:source_t6_512;study05/study05_p40:target_t36_0:source_t1_0;study05/study05_p46:target_t36_512:source_t15_512;study05/study05_p47:target_t33_1024:source_t2_0;study05/study05_p50:target_t24_1024:source_t5_1536
37,34;234;552;108;22;273;670;556,study05/study05_p40:target_t27_0:source_t9_0;study05/study05_p44:target_t19_1024:source_t14_1536;study05/study05_p48:target_t23_0:source_t5_512;study05/study05_p41:target_t24_1536:source_t9_512;study05/study05_p40:target_t23_1536:source_t6_0;study05/study05_p44:target_t29_512:source_t9_1024;study05/study05_p50:target_t27_1024:source_t8_0;study05/study05_p48:target_t24_512:source_t6_512
38,584;582;574;412;469;516;144;55,study05/study05_p48:target_t32_1024:source_t0_512;study05/study05_p48:target_t32_0:source_t14_512;study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p46:target_t29_1536:source_t8_0;study05/study05_p47:target_t22_0:source_t5_1024;study05/study05_p47:target_t33_1536:source_t2_512;study05/study05_p43:target_t18_0:source_t0_1024;study05/study05_p40:target_t32_1024:source_t15_1024
39,259;251;478;110;562;684;5;663,study05/study05_p44:target_t25_1536:source_t6_0;study05/study05_p44:target_t23_1536:source_t4_0;study05/study05_p47:target_t24_512:source_t8_1024;study05/study05_p41:target_t25_512:source_t9_1536;study05/study05_p48:target_t25_1536:source_t7_1536;study05/study05_p50:target_t31_1536:source_t11_1024;study05/study05_p40:target_t19_512:source_t1_1536;study05/study05_p50:target_t25_512:source_t6_512
40,432;140;504;413;354;536;32;446,study05/study05_p46:target_t34_1536:source_t13_1024;study05/study05_p41:target_t33_0:source_t3_512;study05/study05_p47:target_t30_1536:source_t16_512;study05/study05_p46:target_t30_0:source_t8_512;study05/study05_p45:target_t33_1024:source_t0_0;study05/study05_p48:target_t19_0:source_t1_512;study05/study05_p40:target_t26_1024:source_t8_1024;study05/study05_p46:target_t38_512:source_t17_512
41,546;519;505;205;442;187;587;299,study05/study05_p48:target_t21_1024:source_t3_1536;study05/study05_p47:target_t34_1024:source_t3_0;study05/study05_p47:target_t31_0:source_t16_1024;study05/study05_p43:target_t36_0:source_t2_512;study05/study05_p46:target_t37_512:source_t16_512;study05/study05_p43:target_t30_1024:source_t11_512;study05/study05_p48:target_t33_1536:source_t1_0;study05/study05_p44:target_t35_1536:source_t3_512
42,618;132;367;408;50;372;687;95,study05/study05_p49:target_t18_512:source_t2_1024;study05/study05_p41:target_t30_1536:source_t1_512;study05/study05_p46:target_t18_0:source_t14_1536;study05/study05_p46:target_t28_1536:source_t7_0;study05/study05_p40:target_t31_512:source_t14_512;study05/study05_p46:target_t19_512:source_t16_0;study05/study05_p50:target_t32_1536:source_t12_512;study05/study05_p41:target_t21_1024:source_t6_0
43,554;662;605;72;218;460;651;1,study05/study05_p48:target_t23_1024:source_t5_1536;study05/study05_p50:target_t25_0:source_t6_0;study05/study05_p49:target_t13_512:source_t10_512;study05/study05_p40:target_t36_1536:source_t1_1536;study05/study05_p44:target_t15_1024:source_t8_1024;study05/study05_p47:target_t19_1536:source_t3_512;study05/study05_p50:target_t20_1536:source_t3_512;study05/study05_p40:target_t18_512:source_t0_1536
44,657;330;688;256;502;241;294;386,study05/study05_p50:target_t23_0:source_t4_1536;study05/study05_p45:target_t26_1024:source_t9_1536;study05/study05_p50:target_t33_1024:source_t12_1024;study05/study05_p44:target_t25_0:source_t5_512;study05/study05_p47:target_t30_512:source_t15_1024;study05/study05_p44:target_t21_512:source_t1_1024;study05/study05_p44:target_t34_1024:source_t2_0;study05/study05_p46:target_t22_1536:source_t1_1024
45,693;409;589;422;26;131;457;336,study05/study05_p50:target_t35_0:source_t13_1536;study05/study05_p46:target_t29_0:source_t7_512;study05/study05_p48:target_t34_512:source_t1_1024;study05/study05_p46:target_t32_512:source_t10_1024;study05/study05_p40:target_t24_1536:source_t7_0;study05/study05_p41:target_t30_1024:source_t1_0;study05/study05_p47:target_t19_0:source_t2_1024;study05/study05_p45:target_t28_1536:source_t11_512
46,161;507;268;79;511;543;278;128,study05/study05_p43:target_t22_1536:source_t4_1536;study05/study05_p47:target_t31_1024:source_t0_0;study05/study05_p44:target_t28_0:source_t8_512;study05/study05_p41:target_t17_1024:source_t2_0;study05/study05_p47:target_t32_1024:source_t1_0;study05/study05_p48:target_t20_1536:source_t3_0;study05/study05_p44:target_t30_1024:source_t11_1024;study05/study05_p41:target_t29_1536:source_t0_512
47,370;86;67;415;475;671;275;23,study05/study05_p46:target_t18_1536:source_t15_1024;study05/study05_p41:target_t19_512:source_t3_1536;study05/study05_p40:target_t35_1024:source_t0_1024;study05/study05_p46:target_t30_1024:source_t8_1536;study05/study05_p47:target_t23_1024:source_t7_512;study05/study05_p50:target_t27_1536:source_t8_512;study05/study05_p44:target_t29_1536:source_t10_1024;study05/study05_p40:target_t24_0:source_t6_512
48,112;652;44;322;645;261;429;287,study05/study05_p41:target_t25_1536:source_t10_512;study05/study05_p50:target_t21_0:source_t3_1024;study05/study05_p40:target_t29_1024:source_t11_1536;study05/study05_p45:target_t24_1024:source_t7_1024;study05/study05_p50:target_t18_512:source_t1_1536;study05/study05_p44:target_t26_512:source_t6_1024;study05/study05_p46:target_t34_0:source_t12_1536;study05/study05_p44:target_t32_1536:source_t0_512
49,60;348;184;423;694;674;363;362,study05/study05_p40:target_t33_1536:source_t16_1536;study05/study05_p45:target_t31_1536:source_t15_512;study05/study05_p43:target_t29_1024:source_t10_1024;study05/study05_p46:target_t32_1024:source_t10_1536;study05/study05_p50:target_t35_512:source_t14_0;study05/study05_p50:target_t28_1024:source_t9_0;study05/study05_p45:target_t35_1536:source_t2_512;study05/study05_p45:target_t35_1024:source_t2_0
50,544;47;200;113;291;87;31;302,study05/study05_p48:target_t21_0:source_t3_512;study05/study05_p40:target_t30_512:source_t13_0;study05/study05_p43:target_t34_512:source_t1_0;study05/study05_p41:target_t26_0:source_t10_1024;study05/study05_p44:target_t33_1536:source_t1_512;study05/study05_p41:target_t19_1024:source_t4_0;study05/study05_p40:target_t26_512:source_t8_512;study05/study05_p45:target_t18_0:source_t2_1024
51,90;448;421;558;428;56;353;603,study05/study05_p41:target_t20_512:source_t4_1536;study05/study05_p46:target_t38_1536:source_t17_1536;study05/study05_p46:target_t32_0:source_t10_512;study05/study05_p48:target_t24_1536:source_t6_1536;study05/study05_p46:target_t33_1536:source_t12_1024;study05/study05_p40:target_t32_1536:source_t15_1536;study05/study05_p45:target_t33_512:source_t16_1024;study05/study05_p49:target_t12_1536:source_t9_1536
52,564;396;484;404;301;466;425;581,study05/study05_p48:target_t26_512:source_t8_512;study05/study05_p46:target_t25_512:source_t4_0;study05/study05_p47:target_t25_1536:source_t10_0;study05/study05_p46:target_t27_512:source_t6_0;study05/study05_p45:target_t17_512:source_t2_512;study05/study05_p47:target_t21_512:source_t4_1536;study05/study05_p46:target_t33_0:source_t11_512;study05/study05_p48:target_t31_1536:source_t13_512
53,393;257;48;142;596;595;668;266,study05/study05_p46:target_t24_1024:source_t3_512;study05/study05_p44:target_t25_512:source_t5_1024;study05/study05_p40:target_t30_1024:source_t13_512;study05/study05_p41:target_t33_1024:source_t3_1536;study05/study05_p48:target_t36_1024:source_t3_512;study05/study05_p48:target_t36_512:source_t3_0;study05/study05_p50:target_t27_0:source_t7_1024;study05/study05_p44:target_t27_1024:source_t7_1536
54,155;78;164;621;117;19;594;601,study05/study05_p43:target_t20_1536:source_t3_512;study05/study05_p41:target_t17_512:source_t1_1536;study05/study05_p43:target_t24_0:source_t5_1024;study05/study05_p49:target_t19_512:source_t3_512;study05/study05_p41:target_t27_0:source_t11_1024;study05/study05_p40:target_t23_0:source_t5_512;study05/study05_p48:target_t36_0:source_t2_1536;study05/study05_p49:target_t12_512:source_t9_512
55,201;632;228;464;547;499;53;405,study05/study05_p43:target_t34_1024:source_t1_512;study05/study05_p49:target_t23_512:source_t6_1024;study05/study05_p44:target_t18_0:source_t11_1536;study05/study05_p47:target_t20_1536:source_t4_512;study05/study05_p48:target_t21_1536:source_t4_0;study05/study05_p47:target_t29_1024:source_t14_512;study05/study05_p40:target_t32_0:source_t15_0;study05/study05_p46:target_t27_1024:source_t6_512
56,647;514;3;139;500;559;126;341,study05/study05_p50:target_t19_512:source_t2_512;study05/study05_p47:target_t33_512:source_t1_1536;study05/study05_p40:target_t18_1536:source_t1_512;study05/study05_p41:target_t32_1536:source_t3_0;study05/study05_p47:target_t29_1536:source_t14_1024;study05/study05_p48:target_t25_0:source_t7_0;study05/study05_p41:target_t29_512:source_t15_1536;study05/study05_p45:target_t30_0:source_t13_0
57,123;286;376;578;298;379;610;352,study05/study05_p41:target_t28_1024:source_t14_1024;study05/study05_p44:target_t32_1024:source_t0_0;study05/study05_p46:target_t20_512:source_t17_0;study05/study05_p48:target_t30_1536:source_t11_1536;study05/study05_p44:target_t35_1024:source_t3_0;study05/study05_p46:target_t21_0:source_t17_1536;study05/study05_p49:target_t14_1536:source_t0_1024;study05/study05_p45:target_t32_1536:source_t16_512
58,63;222;498;365;402;655;213;349,study05/study05_p40:target_t34_1024:source_t17_1024;study05/study05_p44:target_t16_1024:source_t9_1024;study05/study05_p47:target_t29_512:source_t14_0;study05/study05_p45:target_t36_1024:source_t2_1536;study05/study05_p46:target_t26_1536:source_t5_1024;study05/study05_p50:target_t22_0:source_t4_512;study05/study05_p43:target_t38_512:source_t4_512;study05/study05_p45:target_t32_0:source_t15_1024
59,276;284;307;316;450;550;602;66,study05/study05_p44:target_t30_0:source_t11_0;study05/study05_p44:target_t32_0:source_t14_512;study05/study05_p45:target_t19_512:source_t3_1536;study05/study05_p45:target_t22_0:source_t6_0;study05/study05_p47:target_t17_512:source_t0_1536;study05/study05_p48:target_t22_1024:source_t4_1536;study05/study05_p49:target_t12_1024:source_t9_1024;study05/study05_p40:target_t35_512:source_t0_512
60,327;521;231;440;312;591;366;224,study05/study05_p45:target_t25_1536:source_t9_0;study05/study05_p48:target_t15_0:source_t10_1024;study05/study05_p44:target_t18_1536:source_t13_512;study05/study05_p46:target_t36_1536:source_t15_1536;study05/study05_p45:target_t20_1536:source_t5_0;study05/study05_p48:target_t34_1536:source_t2_0;study05/study05_p45:target_t36_1536:source_t3_0;study05/study05_p44:target_t17_0:source_t10_1024
61,640;303;135;70;541;468;681;247,study05/study05_p50:target_t16_0:source_t0_1024;study05/study05_p45:target_t18_512:source_t2_1536;study05/study05_p41:target_t31_1024:source_t2_0;study05/study05_p40:target_t36_512:source_t1_512;study05/study05_p48:target_t20_512:source_t2_1024;study05/study05_p47:target_t21_1536:source_t5_512;study05/study05_p50:target_t30_512:source_t10_1536;study05/study05_p44:target_t22_1536:source_t3_0
62,43;431;267;575;334;646;444;328,study05/study05_p40:target_t29_512:source_t11_1024;study05/study05_p46:target_t34_1024:source_t13_512;study05/study05_p44:target_t27_1536:source_t8_0;study05/study05_p48:target_t30_0:source_t11_0;study05/study05_p45:target_t27_1024:source_t10_1536;study05/study05_p50:target_t19_0:source_t2_0;study05/study05_p46:target_t37_1536:source_t16_1536;study05/study05_p45:target_t26_0:source_t9_512
63,20;496;630;345;59;576;12;616,study05/study05_p40:target_t23_512:source_t5_1024;study05/study05_p47:target_t28_1536:source_t13_1024;study05/study05_p49:target_t22_1536:source_t5_1024;study05/study05_p45:target_t31_0:source_t14_0;study05/study05_p40:target_t33_1024:source_t16_1024;study05/study05_p48:target_t30_512:source_t11_512;study05/study05_p40:target_t21_512:source_t3_1024;study05/study05_p49:target_t16_512:source_t2_0
64,253;209;38;488;419;61;658;461,study05/study05_p44:target_t24_512:source_t4_1024;study05/study05_p43:target_t37_512:source_t3_512;study05/study05_p40:target_t28_0:source_t10_512;study05/study05_p47:target_t26_1536:source_t11_512;study05/study05_p46:target_t31_1024:source_t9_1536;study05/study05_p40:target_t34_0:source_t17_0;study05/study05_p50:target_t23_512:source_t5_0;study05/study05_p47:target_t20_0:source_t3_1024
65,350;629;283;165;304;401;623;89,study05/study05_p45:target_t32_512:source_t15_1536;study05/study05_p49:target_t21_1536:source_t5_512;study05/study05_p44:target_t31_1536:source_t13_1536;study05/study05_p43:target_t24_512:source_t5_1536;study05/study05_p45:target_t18_1024:source_t3_0;study05/study05_p46:target_t26_1024:source_t5_512;study05/study05_p49:target_t19_1536:source_t3_1536;study05/study05_p41:target_t20_0:source_t4_1024
66,100;451;436;11;692;207;121;260,study05/study05_p41:target_t22_1536:source_t7_512;study05/study05_p47:target_t17_1024:source_t1_0;study05/study05_p46:target_t35_1536:source_t14_1536;study05/study05_p40:target_t21_0:source_t3_512;study05/study05_p50:target_t34_1024:source_t13_1024;study05/study05_p43:target_t36_1024:source_t2_1536;study05/study05_p41:target_t28_0:source_t13_512;study05/study05_p44:target_t26_0:source_t6_512
