method,task,clean_target,split_unit,conditioning,unseen_participants,support_query_separation,matched_deterministic,official_code,evidence_boundary,primary_source
ResTL,cross-subject MI classification,labeled MI targets,subject-held-out,resting-state target-subject EEG,yes,rest/task separation,classification baselines,yes,mechanism inspiration only,https://arxiv.org/abs/2405.19346
BandRouteNet,EEG artifact removal,EEGdenoiseNet paired mixtures,source epochs,noisy EEG with adaptive frequency/time routing,no participant claim,no calibration support,required,not located in named official repositories,2026 preprint population baseline not subject-aware,https://arxiv.org/abs/2604.24428
CT-DCENet,EEG artifact removal,public paired clean/artifact mixtures,repository protocol not audited,noisy EEG ensemble and residual,unknown,no calibration support,ensemble deterministic comparators,not verified,competitive population deterministic baseline,https://doi.org/10.1109/JBHI.2025.3535592
MNE EOGRegression,ocular artifact regression,no clean target required,recording/calibration block,EOG reference,no,fit/query separation must be imposed,no,official MNE API,support-only linear baseline,https://mne.tools/stable/generated/mne.preprocessing.EOGRegression.html
ICA+ICLabel,component classification/removal,no paired clean target,recording or calibration data,EEG component features,no,fit/query separation must be imposed,no,official MNE-ICLabel/EEGLAB APIs,component-removal baseline not subject-aware diffusion,https://mne.tools/mne-icalabel/stable/api/index.html
ASR,burst subspace reconstruction,clean calibration distribution,recording/calibration data,clean-window covariance,no,calibration/query separation possible,no,official EEGLAB clean_rawdata,selective subspace baseline with calibration semantics,https://eeglab.org/tutorials/06_RejectArtifacts/cleanrawdata.html
Ambulatory ECG conditional diffusion,ECG noise reduction,QT plus MIT-BIH Noise Stress Test paired construction,database records,noisy ECG and conditional noise,no,no subject support,required,no official code verified,transferable conditional restoration evidence only,https://doi.org/10.1063/5.0222123
HyperEEGNet,motor-imagery classification,labeled MI targets,leave-subject-out,resting-state target-subject EEG via hypernetwork,yes,rest support separated from task query,classification baseline,OpenReview implementation status not verified,adapter inspiration only; nine-participant classification evidence,https://openreview.net/forum?id=04RGjODVj3
TSMNet,cross-session/subject EEG classification,labeled task targets,multi-dataset domain split,domain-specific SPD statistics,yes,unsupervised domain statistics not denoising support,classification baselines,yes,statistic-control inspiration only,https://openreview.net/forum?id=pp7onaiM4VB
Euclidean Alignment,cross-subject EEG classification,labeled task targets,subject/session split,target-domain covariance,yes,calibration scope depends on protocol,classification baselines,reference implementations available,cheap support-statistic control not artifact restoration,https://doi.org/10.1088/1741-2552/addd49
Subject Adaptation Network,EEG classification,labeled task targets,cross-subject split,adversarial subject-domain alignment,yes,no denoising support/query protocol,classification baselines,not verified,domain-invariance evidence not personalized denoising,https://doi.org/10.1016/j.asoc.2019.105689
Deep-learning EEG denoising review,systematic literature review,not applicable,review-level synthesis,not applicable,not applicable,not applicable,not applicable,not applicable,selective denoising and downstream validation scope evidence only,https://doi.org/10.1088/1741-2552/ae89e6
ReHA-Net,EEG artifact removal,paired population denoising targets,paper protocol,ReVIN and multiscale attention,no subject-support claim,no disjoint calibration support,required,publication code status not verified,normalization control inspiration rather than subject-aware evidence,https://www.nature.com/articles/s41598-025-28855-0
RestoreGrad,generic signal restoration,task-specific clean target,benchmark split,degraded observation and jointly learned prior,no EEG participant claim,no independent subject support,matched deterministic required,publication implementation not audited,observation-informed diffusion prior evidence rather than EEG personalization,https://proceedings.mlr.press/v267/lee25ai.html
MultiDiffNet,EEG multi-task decoding,classification labels,subject/session-disjoint decoding benchmark,diffusion latent with task objectives,yes,no artifact-removal calibration support,classification baselines,publication code status not audited,decoding generalization not waveform artifact restoration,https://proceedings.mlr.press/v308/zhang26a.html
DiffEEG,self-supervised EEG representation and seizure classification,unlabeled pretraining plus seizure labels,patient-wise TUHSZ folds,diffusion pretraining of generic representation,yes,no artifact-removal calibration support,classification baselines,official code not verified,representation/classification evidence not artifact restoration,https://arxiv.org/abs/2607.11578
