experiment_id,dataset,branch,commit,config,report,result_summary,scientific_unit,development_or_confirmation,natural_or_semisim_or_proxy,seeds,coverage,technical_status,scientific_status,primary_estimands,claim_scope,query_eog_used,support_eog_or_labels_used,oracle_only,superseded_by,canonicality,provenance_status,provenance_note
bci2a_v10,BCI Competition IV-2a/2b,codex/bci2a-hierarchical-score-v10,90b9411a30aeee799d731a17e626c8c377e1e1fc,,reports/bci2a_hierarchical_score_diffusion_v10.md,results/cgdr/bci2a_hierarchical_score_v10/result_summary.json,participant,development,paired semisim + natural,none/model not adjudicated,9 participants,base pipeline invalid for 2b; identifiability not established for 2a,hierarchical Score-LoRA not scientifically adjudicated,hierarchical Score-LoRA not scientifically adjudicated,current band-transfer representation,yes for guided arms,support EEG+EOG,query operator ceiling,bci2b_v11,supporting,complete,
bci2b_v11,BCI Competition IV-2b,codex/bci2b-eog-residual-v11,9ee9218ce6e3bf11b1f157339ae53b0506b5877b,,reports/bci2b_eog_residual_diffusion_v11.md,results/cgdr/bci2b_eog_residual_v11/result_summary.json,participant,development,paired semisim + natural,one,3 participants gate,spectral scale later repaired,frozen no-go retained,frozen no-go retained,historical gate only,yes,support EEG+EOG,bridge ceilings,bci2b_v11_1,superseded,complete,
bci2b_v11_1,BCI Competition IV-2b,codex/bci2b-eog-residual-v11-1,4673aa9ca2b23c62d7d7374de16f794a1b61fd2d,,reports/bci2b_eog_residual_diffusion_v11_1.md,results/cgdr/bci2b_eog_residual_v11_1/result_summary.json,participant,development,paired semisim + natural,one,9 participants,valid fixed EOG-guided pipeline,subject operator signal vs POP7/cyclic wrong,subject operator signal vs POP7/cyclic wrong,same development cohort,yes,support EEG+EOG,no,bci2b_replication,supporting,complete,
bci2b_replication,BCI Competition IV-2b,codex/bci2b-subject-diffusion-replication,ee759201874b0673cd580368900e34e144707953,,reports/bci2b_subject_diffusion_replication.md,results/cgdr/bci2b_subject_diffusion_replication/result_summary.json,participant,development,paired semisim + natural,3,9/9,valid fixed EOG-guided pipeline,three-seed same-cohort stability vs POP7/wrong,three-seed same-cohort stability vs POP7/wrong,not independent confirmation; not strong POP8,yes,support EEG+EOG,no,bci2b_pop8_strict,supporting,complete,
bci2b_mechanism_uq,BCI Competition IV-2b,codex/subject-diffusion-mechanism-uq,1baddc978405cf85e1b1e278395c3f1f0439a814,,reports/bci2b_subject_diffusion_mechanism_uq.md,results/cgdr/bci2b_subject_diffusion_mechanism_uq/result_summary.json,participant,development,paired semisim + natural,3,9/9,valid frozen-checkpoint audit,operator-mediated effect; weak uncertainty association only,operator-mediated effect; weak uncertainty association only,no calibrated posterior claim,yes,support EEG+EOG,no,bci2b_context_causal,supporting,complete,
bci2b_context_causal,BCI Competition IV-2b,codex/bci2b-subject-diffusion-next,cec659deb61b206f39f8434252ab2fb503cfb880,,reports/bci2b_context_causal_audit.md,results/cgdr/bci2b_context_causal_audit/result_summary.json,participant,development,paired semisim,3,9/9,valid causal decomposition,context coherence penalty; score-specific mediation not identified,context coherence penalty; score-specific mediation not identified,frozen model diagnostic,yes,support EEG+EOG,oracle cross diagnostic,,canonical_milestone,complete,
bci2b_pop8_strict,BCI Competition IV-2b,codex/bci2b-operator-shrinkage,41b2bfe64c4b80d6a4739aca6f13947293e687e5,configs/cgdr/bci2b_operator_shrinkage.yaml,reports/bci2b_pop8_strict_reanalysis.md,results/cgdr/bci2b_pop8_strict/result_summary.json,participant,development,paired semisim + natural,3,26/27 units; 9 participants,strict eligibility and participant-first valid,strong POP8-R canonical control,strong POP8-R canonical control,strong population reference,yes,support EEG+EOG,no,,canonical_milestone,complete,
bci2b_shrinkage,BCI Competition IV-2b,codex/bci2b-operator-shrinkage,41b2bfe64c4b80d6a4739aca6f13947293e687e5,configs/cgdr/bci2b_operator_shrinkage.yaml,reports/bci2b_operator_shrinkage.md,results/cgdr/bci2b_operator_shrinkage/result_summary.json,participant,development,paired semisim + natural,3,26/27 units; 9 participants,valid support-only shrinkage,MATCH over strong POP not established,MATCH over strong POP not established,closes EOG-transfer personalization instances,yes,support EEG+EOG,no,,canonical_milestone,complete,
capacity_matched,BCI Competition IV-2b,codex/diffusion-fair-neural-prior,2f13de18118309ba731a49a553e547e368b3121b,configs/cgdr/diffusion_fair_neural_prior.yaml,reports/diffusion_capacity_matched_audit.md,results/cgdr/diffusion_fair_neural_prior/capacity_matched/result_summary.json,participant,development,paired semisim + natural,3,26/27 units; 9 participants,DET2 capacity match validated,extra-capacity confounded; averaging signal present,extra-capacity confounded; averaging signal present,diffusion-specific value unsupported,yes,support EEG+EOG,no,,canonical_milestone,complete,
clean_neural_prior,BCI Competition IV-2a/2b,codex/diffusion-fair-neural-prior,2f13de18118309ba731a49a553e547e368b3121b,configs/cgdr/diffusion_fair_neural_prior.yaml,reports/clean_neural_subject_headroom.md,results/cgdr/diffusion_fair_neural_prior/clean_neural_aligned_diffusion/result_summary.json,participant,development,proxy then paired semisim + natural,one,9 participants,valid current alignment instance,clean-neural aligned diffusion instance no-go,clean-neural aligned diffusion instance no-go,current covariance-alignment implementation,query evaluator only,support EEG; EOG exclusion only,proxy headroom evaluator-only,,canonical_milestone,complete,
raw_support,BCI Competition IV-2b,codex/raw-support-clean-diffusion,dc43a5761f84a239425a0483d737ede3902aa85b,configs/cgdr/raw_support_clean_diffusion.yaml,reports/raw_support_clean_diffusion.md,results/cgdr/raw_support_clean_diffusion/result_summary.json,participant,development,paired semisim + natural,one,26/27 units; 9 participants,valid current raw-support instance,initial result corrected by donor closure,initial result corrected by donor closure,support-EOG-assisted raw temporal route,no,support EEG; EOG used for exclusion,covariance oracle diagnostic,raw_support_closure,superseded,complete,
raw_support_closure,BCI Competition IV-2b,codex/raw-support-clean-diffusion-closure,f0e4e655c6723929233de14e75b48c410421ec0d,configs/cgdr/raw_support_clean_diffusion.yaml,reports/raw_support_clean_diffusion_closure.md,results/cgdr/raw_support_clean_diffusion_closure/result_summary.json,participant,development,paired semisim + natural,one,26/27 units; 9 participants,participant-first donor correction valid,MATCH over strong POP not established; donor specificity suggestive; K8 gain,MATCH over strong POP not established; donor specificity suggestive; K8 gain,current raw temporal route only,no,support EEG; EOG used for exclusion,no,,canonical_milestone,complete,
physiomotion_j1,PhysioMotion ds006386,codex/physiomotion-subject-restoration,fbcd5b01121c471a09023ce5369b8bcc1bae1c19,configs/cgdr/physiomotion_subject_restoration.yaml,reports/physiomotion_subject_restoration.md,results/cgdr/physiomotion_subject_restoration/result_summary.json,participant,development,exact clean-mask proxy,none,20 development; 10 sealed unopened,bank-size confounded,historical headroom screen,historical headroom screen,requires fairness repair,no,support clean EEG,no,physiomotion_j1r,superseded,complete,
physiomotion_j1r,PhysioMotion ds006386,codex/physiomotion-retrieval-fairness,d01a7b763b4eacb2fac634e8b6f16f656c69b490,configs/cgdr/physiomotion_retrieval_fairness.yaml,reports/physiomotion_retrieval_fairness.md,results/cgdr/physiomotion_retrieval_fairness/result_summary.json,participant,development,exact clean-mask proxy,none,17 evaluable/20 policy; 10 sealed unopened,fair bank-size audit valid,deployable hybrid headroom proxy,deployable hybrid headroom proxy,not denoising utility,no,support clean EEG,oracle evaluator arm separate,physiomotion_hybrid,supporting,complete,
physiomotion_hybrid,PhysioMotion ds006386,codex/physiomotion-hybrid-masked-diffusion,4bf631aaf0a081ad2920c5fa20cda64eb87fbbcf,configs/cgdr/physiomotion_hybrid_masked.yaml,reports/physiomotion_hybrid_masked_diffusion.md,results/cgdr/physiomotion_hybrid_masked/result_summary.json,participant,development,exact clean-mask + natural artifact,one,17 evaluable/20 policy; sealed 10 unopened,technical validity passed,DEV_ONE_SEED_NO_GO,DEV_ONE_SEED_NO_GO,current hybrid masked instance,no,support clean EEG,natural mask evaluator-only,,canonical_milestone,complete,
shu_headroom,SHU MultiSession MI,codex/shu-task-phenotype-diffusion,183567690d66f8ec49bb619c15ef15fff844c066,configs/cgdr/shu_task_phenotype_diffusion.yaml,reports/shu_task_phenotype_diffusion.md,results/cgdr/shu_task_phenotype_diffusion/result_summary.json,participant,development,masked reconstruction proxy,none,25/25 Day2/3; Day4/5 unopened,valid relative same-input headroom; source provenance incomplete,TASK_PHENOTYPE_HEADROOM_NO_GO,TASK_PHENOTYPE_HEADROOM_NO_GO,current task-phenotype probe; no model trained,no,Day1 EEG + MI class labels,no,,canonical_milestone,incomplete,BLOCKED_PROVENANCE_MISMATCH: configs/cgdr/shu_task_phenotype_diffusion.yaml
