fold,participant,query_eog_in_inference,query_operator_in_inference,session,task,window,wrong_owner
3,sub-15,0,0,ses-04,SSVEP,93,sub-17
3,sub-15,0,0,ses-04,SSVEP,100,sub-17
3,sub-17,0,0,ses-02,ERP,0,sub-15
3,sub-17,0,0,ses-02,ERP,9,sub-15
3,sub-17,0,0,ses-02,ERP,19,sub-15
3,sub-17,0,0,ses-02,ERP,29,sub-15
3,sub-17,0,0,ses-02,ERP,39,sub-15
3,sub-17,0,0,ses-02,ERP,49,sub-15
3,sub-17,0,0,ses-02,ERP,58,sub-15
3,sub-17,0,0,ses-02,ERP,68,sub-15
3,sub-17,0,0,ses-02,ERP,78,sub-15
3,sub-17,0,0,ses-02,ERP,88,sub-15
3,sub-17,0,0,ses-02,ERP,98,sub-15
3,sub-17,0,0,ses-02,ERP,107,sub-15
3,sub-17,0,0,ses-02,ERP,117,sub-15
3,sub-17,0,0,ses-02,ERP,127,sub-15
3,sub-17,0,0,ses-02,ERP,137,sub-15
3,sub-17,0,0,ses-02,ERP,147,sub-15
3,sub-17,0,0,ses-02,SSVEP,0,sub-15
3,sub-17,0,0,ses-02,SSVEP,6,sub-15
3,sub-17,0,0,ses-02,SSVEP,12,sub-15
3,sub-17,0,0,ses-02,SSVEP,18,sub-15
3,sub-17,0,0,ses-02,SSVEP,25,sub-15
3,sub-17,0,0,ses-02,SSVEP,31,sub-15
3,sub-17,0,0,ses-02,SSVEP,37,sub-15
3,sub-17,0,0,ses-02,SSVEP,43,sub-15
3,sub-17,0,0,ses-02,SSVEP,50,sub-15
3,sub-17,0,0,ses-02,SSVEP,56,sub-15
3,sub-17,0,0,ses-02,SSVEP,62,sub-15
3,sub-17,0,0,ses-02,SSVEP,68,sub-15
3,sub-17,0,0,ses-02,SSVEP,75,sub-15
3,sub-17,0,0,ses-02,SSVEP,81,sub-15
3,sub-17,0,0,ses-02,SSVEP,87,sub-15
3,sub-17,0,0,ses-02,SSVEP,94,sub-15
3,sub-17,0,0,ses-03,ERP,0,sub-15
3,sub-17,0,0,ses-03,ERP,10,sub-15
3,sub-17,0,0,ses-03,ERP,20,sub-15
3,sub-17,0,0,ses-03,ERP,30,sub-15
3,sub-17,0,0,ses-03,ERP,41,sub-15
3,sub-17,0,0,ses-03,ERP,51,sub-15
3,sub-17,0,0,ses-03,ERP,61,sub-15
3,sub-17,0,0,ses-03,ERP,71,sub-15
3,sub-17,0,0,ses-03,ERP,82,sub-15
3,sub-17,0,0,ses-03,ERP,92,sub-15
3,sub-17,0,0,ses-03,ERP,102,sub-15
3,sub-17,0,0,ses-03,ERP,112,sub-15
3,sub-17,0,0,ses-03,ERP,123,sub-15
3,sub-17,0,0,ses-03,ERP,133,sub-15
3,sub-17,0,0,ses-03,ERP,143,sub-15
3,sub-17,0,0,ses-03,ERP,154,sub-15
3,sub-17,0,0,ses-03,SSVEP,0,sub-15
3,sub-17,0,0,ses-03,SSVEP,6,sub-15
3,sub-17,0,0,ses-03,SSVEP,12,sub-15
3,sub-17,0,0,ses-03,SSVEP,18,sub-15
3,sub-17,0,0,ses-03,SSVEP,24,sub-15
3,sub-17,0,0,ses-03,SSVEP,30,sub-15
3,sub-17,0,0,ses-03,SSVEP,36,sub-15
3,sub-17,0,0,ses-03,SSVEP,42,sub-15
3,sub-17,0,0,ses-03,SSVEP,48,sub-15
3,sub-17,0,0,ses-03,SSVEP,54,sub-15
3,sub-17,0,0,ses-03,SSVEP,60,sub-15
3,sub-17,0,0,ses-03,SSVEP,66,sub-15
3,sub-17,0,0,ses-03,SSVEP,72,sub-15
3,sub-17,0,0,ses-03,SSVEP,78,sub-15
3,sub-17,0,0,ses-03,SSVEP,84,sub-15
3,sub-17,0,0,ses-03,SSVEP,90,sub-15
3,sub-17,0,0,ses-04,ERP,0,sub-15
3,sub-17,0,0,ses-04,ERP,9,sub-15
3,sub-17,0,0,ses-04,ERP,19,sub-15
3,sub-17,0,0,ses-04,ERP,29,sub-15
3,sub-17,0,0,ses-04,ERP,39,sub-15
3,sub-17,0,0,ses-04,ERP,49,sub-15
3,sub-17,0,0,ses-04,ERP,59,sub-15
3,sub-17,0,0,ses-04,ERP,69,sub-15
3,sub-17,0,0,ses-04,ERP,79,sub-15
3,sub-17,0,0,ses-04,ERP,89,sub-15
3,sub-17,0,0,ses-04,ERP,99,sub-15
3,sub-17,0,0,ses-04,ERP,109,sub-15
3,sub-17,0,0,ses-04,ERP,119,sub-15
3,sub-17,0,0,ses-04,ERP,129,sub-15
3,sub-17,0,0,ses-04,ERP,139,sub-15
3,sub-17,0,0,ses-04,ERP,149,sub-15
3,sub-17,0,0,ses-04,SSVEP,0,sub-15
3,sub-17,0,0,ses-04,SSVEP,6,sub-15
3,sub-17,0,0,ses-04,SSVEP,12,sub-15
3,sub-17,0,0,ses-04,SSVEP,18,sub-15
3,sub-17,0,0,ses-04,SSVEP,24,sub-15
3,sub-17,0,0,ses-04,SSVEP,30,sub-15
3,sub-17,0,0,ses-04,SSVEP,36,sub-15
3,sub-17,0,0,ses-04,SSVEP,42,sub-15
3,sub-17,0,0,ses-04,SSVEP,48,sub-15
3,sub-17,0,0,ses-04,SSVEP,54,sub-15
3,sub-17,0,0,ses-04,SSVEP,60,sub-15
3,sub-17,0,0,ses-04,SSVEP,66,sub-15
3,sub-17,0,0,ses-04,SSVEP,72,sub-15
3,sub-17,0,0,ses-04,SSVEP,78,sub-15
3,sub-17,0,0,ses-04,SSVEP,84,sub-15
3,sub-17,0,0,ses-04,SSVEP,91,sub-15
3,sub-18,0,0,ses-02,ERP,0,sub-15
3,sub-18,0,0,ses-02,ERP,15,sub-15
3,sub-18,0,0,ses-02,ERP,30,sub-15
3,sub-18,0,0,ses-02,ERP,46,sub-15
3,sub-18,0,0,ses-02,ERP,61,sub-15
3,sub-18,0,0,ses-02,ERP,76,sub-15
3,sub-18,0,0,ses-02,ERP,92,sub-15
3,sub-18,0,0,ses-02,ERP,107,sub-15
3,sub-18,0,0,ses-02,ERP,122,sub-15
3,sub-18,0,0,ses-02,ERP,138,sub-15
3,sub-18,0,0,ses-02,ERP,153,sub-15
3,sub-18,0,0,ses-02,ERP,168,sub-15
3,sub-18,0,0,ses-02,ERP,184,sub-15
3,sub-18,0,0,ses-02,ERP,199,sub-15
3,sub-18,0,0,ses-02,ERP,214,sub-15
3,sub-18,0,0,ses-02,ERP,230,sub-15
3,sub-18,0,0,ses-02,SSVEP,0,sub-15
3,sub-18,0,0,ses-02,SSVEP,6,sub-15
3,sub-18,0,0,ses-02,SSVEP,13,sub-15
3,sub-18,0,0,ses-02,SSVEP,20,sub-15
3,sub-18,0,0,ses-02,SSVEP,26,sub-15
3,sub-18,0,0,ses-02,SSVEP,33,sub-15
3,sub-18,0,0,ses-02,SSVEP,40,sub-15
3,sub-18,0,0,ses-02,SSVEP,47,sub-15
3,sub-18,0,0,ses-02,SSVEP,53,sub-15
3,sub-18,0,0,ses-02,SSVEP,60,sub-15
3,sub-18,0,0,ses-02,SSVEP,67,sub-15
3,sub-18,0,0,ses-02,SSVEP,74,sub-15
3,sub-18,0,0,ses-02,SSVEP,80,sub-15
3,sub-18,0,0,ses-02,SSVEP,87,sub-15
3,sub-18,0,0,ses-02,SSVEP,94,sub-15
3,sub-18,0,0,ses-02,SSVEP,101,sub-15
3,sub-18,0,0,ses-03,ERP,0,sub-15
3,sub-18,0,0,ses-03,ERP,10,sub-15
3,sub-18,0,0,ses-03,ERP,20,sub-15
3,sub-18,0,0,ses-03,ERP,31,sub-15
3,sub-18,0,0,ses-03,ERP,41,sub-15
3,sub-18,0,0,ses-03,ERP,52,sub-15
3,sub-18,0,0,ses-03,ERP,62,sub-15
3,sub-18,0,0,ses-03,ERP,73,sub-15
3,sub-18,0,0,ses-03,ERP,83,sub-15
3,sub-18,0,0,ses-03,ERP,94,sub-15
3,sub-18,0,0,ses-03,ERP,104,sub-15
3,sub-18,0,0,ses-03,ERP,115,sub-15
3,sub-18,0,0,ses-03,ERP,125,sub-15
3,sub-18,0,0,ses-03,ERP,136,sub-15
3,sub-18,0,0,ses-03,ERP,146,sub-15
3,sub-18,0,0,ses-03,ERP,157,sub-15
3,sub-18,0,0,ses-03,SSVEP,0,sub-15
3,sub-18,0,0,ses-03,SSVEP,6,sub-15
3,sub-18,0,0,ses-03,SSVEP,12,sub-15
3,sub-18,0,0,ses-03,SSVEP,18,sub-15
3,sub-18,0,0,ses-03,SSVEP,24,sub-15
3,sub-18,0,0,ses-03,SSVEP,31,sub-15
3,sub-18,0,0,ses-03,SSVEP,37,sub-15
3,sub-18,0,0,ses-03,SSVEP,43,sub-15
3,sub-18,0,0,ses-03,SSVEP,49,sub-15
3,sub-18,0,0,ses-03,SSVEP,55,sub-15
3,sub-18,0,0,ses-03,SSVEP,62,sub-15
3,sub-18,0,0,ses-03,SSVEP,68,sub-15
3,sub-18,0,0,ses-03,SSVEP,74,sub-15
3,sub-18,0,0,ses-03,SSVEP,80,sub-15
3,sub-18,0,0,ses-03,SSVEP,86,sub-15
3,sub-18,0,0,ses-03,SSVEP,93,sub-15
3,sub-18,0,0,ses-04,ERP,0,sub-15
3,sub-18,0,0,ses-04,ERP,10,sub-15
3,sub-18,0,0,ses-04,ERP,20,sub-15
3,sub-18,0,0,ses-04,ERP,30,sub-15
3,sub-18,0,0,ses-04,ERP,40,sub-15
3,sub-18,0,0,ses-04,ERP,50,sub-15
3,sub-18,0,0,ses-04,ERP,60,sub-15
3,sub-18,0,0,ses-04,ERP,70,sub-15
3,sub-18,0,0,ses-04,ERP,80,sub-15
3,sub-18,0,0,ses-04,ERP,90,sub-15
3,sub-18,0,0,ses-04,ERP,100,sub-15
3,sub-18,0,0,ses-04,ERP,110,sub-15
3,sub-18,0,0,ses-04,ERP,120,sub-15
3,sub-18,0,0,ses-04,ERP,130,sub-15
3,sub-18,0,0,ses-04,ERP,140,sub-15
3,sub-18,0,0,ses-04,ERP,151,sub-15
3,sub-18,0,0,ses-04,SSVEP,0,sub-15
3,sub-18,0,0,ses-04,SSVEP,6,sub-15
3,sub-18,0,0,ses-04,SSVEP,12,sub-15
3,sub-18,0,0,ses-04,SSVEP,18,sub-15
3,sub-18,0,0,ses-04,SSVEP,24,sub-15
3,sub-18,0,0,ses-04,SSVEP,30,sub-15
3,sub-18,0,0,ses-04,SSVEP,36,sub-15
3,sub-18,0,0,ses-04,SSVEP,42,sub-15
3,sub-18,0,0,ses-04,SSVEP,49,sub-15
3,sub-18,0,0,ses-04,SSVEP,55,sub-15
3,sub-18,0,0,ses-04,SSVEP,61,sub-15
3,sub-18,0,0,ses-04,SSVEP,67,sub-15
3,sub-18,0,0,ses-04,SSVEP,73,sub-15
3,sub-18,0,0,ses-04,SSVEP,79,sub-15
3,sub-18,0,0,ses-04,SSVEP,85,sub-15
3,sub-18,0,0,ses-04,SSVEP,92,sub-15
